2014 Mortality Encoding,2015 Mortality Encoding,2016 Mortality Encoding,2017 Mortality Encoding,2018 Mortality Encoding,2019 Mortality Encoding,2020 Mortality Encoding
1.7300539,1.8356375,2.6204684,1.9073411,1.9494774,1.4797449,2.018523
0.87198204,0.80809015,1.4607323,1.5861868,1.0769793,0.8988907,1.3300017
3.6908772,3.7677448,3.8756773,4.308649,4.19399,4.1062016,5.724065
-13.177546,-14.919311,-16.034601,-18.309092,-17.385138,-17.62815,-24.021132
6.412718,7.1382747,7.1470385,8.097804,6.842011,6.9234066,10.118315
1.1901267,-0.042988293,1.076694,1.7790847,0.68861914,0.83260727,1.0467043
-1.1377155,-1.1576774,-1.7134361,-1.7716986,-1.2782379,-0.62180215,-1.9010464
-17.490803,-18.801218,-22.46923,-24.03494,-21.980051,-22.7813,-31.312946
3.6932514,3.9633167,4.2630615,4.2915783,4.760584,4.461229,6.39791
2.2822576,2.4415798,3.5821872,3.7365885,4.071901,4.3245506,4.8373065
-8.259949,-9.102011,-10.269741,-10.792271,-10.159663,-10.888011,-14.729802
-0.006725588,0.83096284,0.12817283,0.2907407,-0.6274443,-0.04683379,0.9799425
-5.8390374,-6.0559163,-7.4902925,-7.3225617,-6.8153815,-6.338716,-8.786264
-19.358063,-21.086157,-24.38844,-26.150675,-25.088198,-25.53855,-33.889343
-7.749601,-8.361245,-9.7112055,-10.152531,-9.564022,-9.764625,-12.627772
3.9245646,4.223471,4.537225,4.0712233,5.2126083,4.7057166,6.933179
3.8957932,4.676652,4.8032684,5.210361,5.3320622,5.122168,6.5751247
4.7100773,4.867054,5.3801765,5.885029,5.371739,5.792225,8.795141
-1.0818655,-1.0209181,-0.45682123,-0.9325016,-0.9559415,-1.2559488,-1.7296789
1.0893005,1.3306984,1.4266843,0.9200486,0.8349651,0.9485768,1.701114
-11.651926,-12.758013,-13.697509,-14.191727,-14.07975,-13.769769,-18.901112
5.797753,6.396682,7.168561,8.45635,6.9836216,7.2164297,10.069928
-2.0169044,-2.3808806,-2.356254,-2.1178832,-2.2167902,-2.3016984,-3.0626936
13.820351,14.626109,17.744068,19.07047,17.785364,18.965223,23.960188
1.6930696,1.721475,2.5350049,2.1507525,3.2075307,2.7599094,2.894702
9.825875,11.021999,12.345777,13.682939,13.241456,13.547518,17.073654
-17.411924,-18.9098,-21.696665,-23.138277,-22.42444,-22.29872,-29.809092
7.063458,7.962678,8.696252,9.318182,8.621807,8.401415,10.244381
0.21074088,-0.39542758,-0.2817306,-1.1478938,-0.9390168,-0.52574533,-0.41602033
-7.372372,-8.269512,-9.816364,-9.581753,-9.511171,-10.056115,-13.085673
-30.610096,-33.830124,-38.403255,-41.2771,-39.49371,-39.254326,-52.963524
-11.778368,-12.486106,-14.3124485,-15.475714,-14.863601,-14.980469,-19.439745
9.778499,9.859147,11.287604,12.185649,10.623355,10.178809,15.072398
-0.37035087,-0.40255567,-0.17818078,-1.1206927,-0.4881017,-0.90484196,-0.4285544
7.061488,7.809958,8.839132,9.564749,9.286428,9.26522,13.975581
-1.4176413,-1.6227459,-1.4712912,-2.1071463,-1.6384622,-1.9099275,-2.7040179
2.5661936,3.3911927,3.2352514,3.6166773,3.4659817,3.1910114,4.5988636
-4.1902075,-4.3507285,-5.4290037,-5.4559016,-4.7869143,-4.8649955,-7.1911964
0.9220229,0.92844504,0.90428305,0.8596801,0.62119406,1.7051867,2.2380786
3.582486,4.1876836,5.0034766,4.4788494,5.4719353,4.7847605,7.667639
-23.007593,-25.299446,-28.966385,-30.692793,-28.778719,-29.077915,-39.271385
10.430547,12.222499,13.89299,14.7289915,14.024197,14.552735,19.618416
-0.8767975,-0.2566708,-0.6493166,0.83728284,-0.14823945,-0.34186968,-0.25956473
-3.3635392,-3.3134894,-4.3584003,-4.5099316,-3.9926324,-3.6732764,-5.3873653
1.8381287,1.8065792,2.9047525,2.8015249,2.0110788,2.1000042,3.2649343
-1.4618303,-2.2108305,-2.314402,-3.0557837,-2.854898,-2.841538,-2.9281483
-0.03877161,-0.35769936,-0.75708246,-0.9661484,-1.2569423,-1.0023661,-1.3629651
-7.178457,-7.9517365,-8.508743,-8.929384,-9.213928,-9.018941,-12.746013
-8.379201,-9.35132,-10.387156,-10.983975,-10.353455,-11.072876,-14.599863
10.589073,11.200497,13.194328,14.217202,13.65218,13.846666,17.93429
-5.85042,-5.9905777,-6.8760486,-7.018439,-6.4093485,-6.9713135,-9.06253
16.122309,17.200352,20.183628,21.679794,20.440334,20.832886,28.636501
-1.7969983,-1.8866551,-2.303714,-1.6819293,-2.1537526,-1.570627,-2.1924314
16.300247,18.238941,21.114845,22.858185,21.534252,22.133343,28.928888
-0.22163273,0.05019949,1.0933816,1.3414807,0.6028304,1.2650495,1.2031803
-1.352333,-2.0534093,-1.8730849,-2.0936062,-2.5075352,-3.0019147,-3.1664684
-14.894542,-15.571725,-18.207962,-19.361212,-19.179619,-19.376701,-25.372583
7.9041734,8.432375,9.615319,11.199351,10.846244,10.737214,13.779395
-14.955568,-15.671853,-17.817518,-18.931059,-17.65167,-17.175825,-24.19081
-12.71797,-13.88126,-16.295044,-18.604856,-16.712284,-17.034771,-22.500988
-3.7089672,-4.356845,-4.223986,-5.2654963,-4.65399,-5.3745146,-5.272932
-14.881458,-16.068485,-17.891666,-18.618574,-17.966206,-18.260445,-24.592346
-5.157772,-5.6572614,-6.650695,-6.7751474,-6.096418,-6.231536,-8.346907
10.3962,11.190427,12.974883,14.119801,12.931265,13.589305,17.996456
11.895437,13.306979,13.936448,14.470492,14.170429,14.850625,18.733116
-14.488633,-16.476103,-18.500546,-20.045532,-18.968082,-19.351849,-25.775494
1.8071784,2.009998,2.0831048,2.0757773,1.9631399,2.0061364,4.138474
18.015072,19.607437,23.025677,24.535149,23.702417,23.999645,32.024185
-2.9140718,-2.8015666,-4.0281987,-4.220916,-3.3292005,-4.245578,-4.946855
-12.597959,-13.561111,-15.746206,-17.17079,-15.018018,-14.878279,-20.969652
34.963936,37.592255,43.554955,47.39853,44.402435,45.484493,60.184788
25.203018,27.484419,31.073595,34.35576,31.851973,33.39704,43.92326
-15.762249,-18.247868,-20.803925,-22.876272,-22.100443,-22.131678,-30.076385
2.5674875,2.9547284,4.4291387,4.75517,3.876765,4.745706,5.587367
