2014 SVI Minority Status Encoding,2015 SVI Minority Status Encoding,2016 SVI Minority Status Encoding,2017 SVI Minority Status Encoding,2018 SVI Minority Status Encoding,2019 SVI Minority Status Encoding,2020 SVI Minority Status Encoding
-28.923372,-28.913347,-28.904432,-28.672733,-28.440786,-28.753042,-29.062864
-16.96491,-17.11259,-17.260681,-17.311426,-17.362553,-17.46568,-17.568905
14.987951,15.032525,15.076526,14.806992,14.53883,14.85157,15.165514
-2.4329658,-2.4754386,-2.5181947,-2.5326009,-2.5465941,-2.7611613,-2.9783082
-71.05231,-71.04567,-71.04,-71.0715,-71.1045,-70.88261,-70.660355
49.820766,49.68154,49.54195,49.605015,49.667603,49.527264,49.385918
-30.42406,-30.77874,-31.132362,-31.128258,-31.123056,-31.017319,-30.91247
-23.2872,-23.356733,-23.426252,-23.657494,-23.887976,-23.752676,-23.618837
-35.195305,-35.267136,-35.338455,-35.424995,-35.512943,-35.491364,-35.470284
-24.150396,-24.291534,-24.430506,-24.824144,-25.219042,-24.78726,-24.355623
-30.832186,-30.777746,-30.7226,-30.740284,-30.758596,-30.89072,-31.02196
-62.809288,-63.253674,-63.697998,-63.743263,-63.78948,-63.777317,-63.76607
-61.267105,-61.417233,-61.567924,-61.646603,-61.726234,-61.451477,-61.176846
-5.9814754,-5.885387,-5.7891574,-5.9262977,-6.062656,-6.0289645,-5.99451
2.6415794,2.8197134,2.998884,2.7794902,2.560208,2.697666,2.8349473
91.20909,91.326065,91.44121,91.30675,91.171,91.51841,91.86629
-55.80068,-55.857784,-55.91486,-55.251263,-54.586414,-54.372375,-54.159306
44.64245,44.972248,45.30249,45.209225,45.11531,44.878437,44.64169
81.96813,82.03294,82.097534,82.02219,81.94743,81.612045,81.27748
20.50619,20.75257,20.99945,20.965452,20.932009,20.731987,20.532278
-28.614176,-28.732355,-28.851423,-29.087599,-29.323202,-29.188595,-29.0527
-14.547518,-14.843374,-15.138437,-14.668745,-14.200058,-14.323259,-14.4466305
9.1033325,9.331622,9.561451,9.849929,10.139132,10.195962,10.251972
22.304995,22.162655,22.020472,22.343895,22.667482,22.701218,22.73332
-17.10527,-16.939503,-16.77179,-17.038952,-17.306202,-17.86035,-18.414474
30.352894,30.19757,30.040283,29.74065,29.440357,29.54741,29.651981
3.275551,3.2682345,3.2602866,3.700083,4.1407185,4.028536,3.9166167
52.60463,52.940468,53.276756,53.06804,52.86011,53.067883,53.27585
-31.251694,-31.179657,-31.107283,-30.878788,-30.6517,-30.4643,-30.277185
6.7940664,6.8928614,6.991909,7.340748,7.6902714,7.5136623,7.3379917
-54.85068,-55.224895,-55.599033,-55.377163,-55.15649,-55.42968,-55.702396
-9.555462,-9.499681,-9.444823,-9.242837,-9.041817,-8.925178,-8.810695
-43.266064,-43.381725,-43.497623,-43.59214,-43.688404,-43.805508,-43.922306
30.139036,29.777193,29.415659,29.686277,29.957575,29.68546,29.412722
17.482687,17.575146,17.66937,17.712095,17.754946,17.752346,17.748892
-40.034237,-40.173164,-40.31203,-40.078686,-39.84747,-39.57254,-39.2991
-4.706098,-4.988651,-5.270416,-5.5328307,-5.7958293,-5.5500293,-5.30265
-16.97566,-17.07797,-17.180618,-17.370882,-17.559807,-17.393208,-17.226067
