2014 SVI Aged 17 or Younger Encoding,2015 SVI Aged 17 or Younger Encoding,2016 SVI Aged 17 or Younger Encoding,2017 SVI Aged 17 or Younger Encoding,2018 SVI Aged 17 or Younger Encoding,2019 SVI Aged 17 or Younger Encoding,2020 SVI Aged 17 or Younger Encoding
-37.084515,-37.00929,-36.934162,-36.773506,-36.613544,-35.725994,-34.83846
-29.239176,-29.183151,-29.125301,-28.759104,-28.392424,-28.279173,-28.165144
46.289425,46.47263,46.655083,46.924187,47.19276,47.840157,48.488674
31.334997,31.5073,31.6781,31.268263,30.859266,30.615732,30.37261
-6.6941752,-6.7401223,-6.7847257,-6.143762,-5.5019917,-5.0978813,-4.694835
-45.469063,-45.999886,-46.529903,-46.138687,-45.745872,-45.584015,-45.421326
10.358536,10.750708,11.142483,11.080681,11.018878,11.088324,11.158207
-16.444935,-16.777792,-17.112865,-16.647171,-16.181416,-16.396305,-16.611376
-8.370129,-8.214648,-8.059119,-7.7386785,-7.417663,-8.116571,-8.815295
-0.045951854,-0.10568763,-0.16569139,0.33094645,0.8283024,1.2081733,1.5871911
-14.186669,-14.466582,-14.745783,-14.320326,-13.893963,-13.412677,-12.930727
-39.760487,-39.820988,-39.88204,-40.119915,-40.35786,-40.715492,-41.072422
69.306526,70.1983,71.08963,69.76504,68.44105,68.36861,68.29707
54.792812,55.430027,56.06959,56.428753,56.78852,56.889973,56.992596
-36.731625,-36.834175,-36.935513,-36.742016,-36.549965,-37.103954,-37.658024
-54.823338,-54.878345,-54.932953,-54.854073,-54.774582,-54.65046,-54.52717
45.159924,44.631954,44.10384,43.03489,41.964806,42.22081,42.47738
1.984478,1.4235182,0.86156845,0.61089706,0.35953236,-0.24691106,-0.854455
10.238938,9.797242,9.355938,9.931778,10.507393,10.117936,9.728754
27.301105,27.456774,27.611652,26.124931,24.638601,24.07954,23.52088
85.228874,85.32649,85.42504,84.700424,83.97552,83.86685,83.760345
73.83445,74.62591,75.41644,74.69381,73.972435,73.296646,72.6221
-6.284223,-6.170757,-6.057857,-6.563211,-7.069612,-6.5088344,-5.947725
-6.817441,-6.917401,-7.017683,-6.732571,-6.446353,-5.8043904,-5.1622577
35.62332,35.730125,35.83642,35.617172,35.398476,35.030273,34.663055
57.934986,58.14324,58.350708,58.436462,58.521606,57.359745,56.199856
28.78171,29.532639,30.283634,30.584877,30.886013,32.06415,33.2421
7.5379725,8.166983,8.79621,9.087343,9.378322,10.16465,10.952145
-20.3862,-20.21165,-20.036592,-19.658424,-19.281199,-19.69191,-20.102505
1.9759144,2.1573472,2.338944,1.8661321,1.3917431,0.95054287,0.5074486
95.98263,96.564026,97.14551,95.768196,94.39242,94.20553,94.020325
-30.679821,-30.876617,-31.075367,-30.960342,-30.844997,-30.80746,-30.768333
-41.10737,-41.19159,-41.27806,-41.769127,-42.261124,-41.797806,-41.334106
-34.85109,-34.233124,-33.615623,-33.43266,-33.24888,-32.631355,-32.014694
-114.881905,-114.80306,-114.72485,-113.11344,-111.504135,-111.24546,-110.98743
50.882576,50.91753,50.951775,50.06622,49.18069,48.490314,47.79978
-55.308537,-54.802914,-54.298435,-53.43047,-52.56493,-52.166176,-51.76649
-76.13911,-77.033615,-77.928505,-77.45579,-76.981606,-76.49755,-76.01208
-31.098623,-30.389288,-29.680117,-30.414465,-31.14908,-31.756905,-32.36611
58.201454,57.776585,57.35278,57.335976,57.319397,58.01804,58.71728
-9.815721,-10.331145,-10.847106,-11.162169,-11.478967,-11.12539,-10.770648
-12.290769,-12.520287,-12.748279,-13.02284,-13.297557,-13.9658785,-14.632588
37.01602,37.277546,37.540276,36.355312,35.170135,34.745586,34.32206
-16.61006,-16.258333,-15.906786,-16.355295,-16.803633,-17.078352,-17.35246
84.906494,85.184326,85.46009,85.4152,85.3699,85.00989,84.64993
-79.79062,-80.20272,-80.614174,-78.634384,-76.65471,-76.91404,-77.17383
11.176553,10.810352,10.443626,9.629605,8.816132,8.0295515,7.241543
-73.742455,-73.59815,-73.45269,-72.08744,-70.722435,-70.35344,-69.98438
37.15705,37.00936,36.861423,35.90651,34.94907,34.625046,34.30275
-17.987679,-18.087404,-18.187994,-18.604818,-19.021927,-19.013765,-19.00607
-8.418092,-8.709436,-8.999286,-9.567031,-10.13427,-10.43878,-10.743127
7.9848013,8.321675,8.658667,9.869621,11.081632,11.146674,11.211885
