2014 SVI Aged 65 or Older Encoding,2015 SVI Aged 65 or Older Encoding,2016 SVI Aged 65 or Older Encoding,2017 SVI Aged 65 or Older Encoding,2018 SVI Aged 65 or Older Encoding,2019 SVI Aged 65 or Older Encoding,2020 SVI Aged 65 or Older Encoding
-74.10587,-74.54071,-74.97421,-75.089485,-75.20605,-74.78846,-74.3722
-62.33974,-62.93627,-63.531593,-63.126213,-62.72062,-63.199814,-63.681053
23.031956,22.83112,22.630074,23.319077,24.008755,23.478893,22.949251
74.255905,74.037285,73.81897,73.70632,73.59613,73.57783,73.557526
8.447929,8.469714,8.491045,8.2756605,8.059931,8.168018,8.277346
70.257195,70.06669,69.87643,70.05078,70.22642,70.042755,69.85953
-85.794174,-85.401,-85.00726,-84.39853,-83.789444,-83.890495,-83.99132
29.317045,29.20305,29.08908,28.81921,28.548948,27.883766,27.218481
15.096218,15.235936,15.375927,15.584648,15.793414,15.764246,15.734164
28.42754,27.802576,27.176466,26.927427,26.677065,27.376528,28.075287
68.434425,68.63154,68.82932,69.458626,70.08949,70.860954,71.6314
-12.406624,-13.033011,-13.659817,-14.206998,-14.7549715,-15.472398,-16.190142
-20.404156,-20.397465,-20.39162,-21.301247,-22.209677,-22.04216,-21.874825
-47.658783,-47.926815,-48.194653,-48.210426,-48.22544,-48.026703,-47.82841
-39.339386,-39.578304,-39.81697,-40.408184,-41.00088,-40.878754,-40.758297
17.038568,16.867855,16.697199,16.518234,16.339334,16.214876,16.088923
42.545567,42.613266,42.679405,42.456276,42.233814,42.109642,41.985588
-61.607857,-61.74453,-61.880318,-61.121025,-60.36236,-59.843887,-59.32405
19.767862,19.65271,19.536036,19.48115,19.42771,19.52204,19.615822
-83.52427,-82.88209,-82.23885,-82.27326,-82.3079,-82.33454,-82.36158
-24.612087,-24.5058,-24.399858,-23.670158,-22.94054,-21.95262,-20.965021
2.246279,1.7935965,1.3413279,1.7096236,2.0768378,2.1170313,2.1587508
37.796806,37.501175,37.205082,36.43033,35.657333,36.09408,36.530315
0.26032448,0.7282233,1.1964083,1.554636,1.9142036,2.3886576,2.862997
16.741587,16.925695,17.109846,16.72604,16.342657,16.220633,16.098457
-14.170413,-14.118882,-14.068494,-14.447919,-14.828494,-14.576427,-14.323882
55.296547,55.071247,54.845425,54.390316,53.93602,53.719025,53.501614
38.578674,38.65489,38.731033,38.155037,37.580467,37.829453,38.078766
-33.226467,-33.10642,-32.986446,-33.722332,-34.45735,-34.680008,-34.903446
-69.08922,-68.83546,-68.58087,-67.90584,-67.230965,-67.2777,-67.32438
27.243053,27.345633,27.44767,27.130535,26.813065,26.785532,26.758377
-2.5168996,-2.2834258,-2.0494409,-1.7382169,-1.4272847,-1.0250401,-0.62246084
-29.649954,-29.978924,-30.308525,-30.586174,-30.86409,-30.574177,-30.284237
82.54286,82.86481,83.18778,82.99585,82.80532,82.20853,81.612915
45.746933,45.298344,44.849285,44.77703,44.70549,44.612522,44.519222
20.613523,20.657991,20.702135,20.606209,20.510864,20.90655,21.302683
-87.67973,-88.24916,-88.81704,-89.28099,-89.74543,-89.783615,-89.823616
-27.607565,-28.375528,-29.143433,-29.392532,-29.642273,-29.583763,-29.525814
-65.88317,-65.88259,-65.88092,-65.3059,-64.72979,-63.936478,-63.144627
-135.50406,-135.33601,-135.1675,-135.0613,-134.95601,-135.04509,-135.13432
-2.7779899,-3.107024,-3.4344676,-3.348451,-3.263104,-2.9713802,-2.681865
