2014 SVI Below Poverty Encoding,2015 SVI Below Poverty Encoding,2016 SVI Below Poverty Encoding,2017 SVI Below Poverty Encoding,2018 SVI Below Poverty Encoding,2019 SVI Below Poverty Encoding,2020 SVI Below Poverty Encoding
-42.73963,-42.913227,-43.084938,-42.69888,-42.31187,-41.58512,-40.857986
8.00232,7.648406,7.2931724,6.7407317,6.188502,6.461811,6.7358365
1.9935066,2.1083832,2.2221355,2.4777489,2.7331185,2.0666318,1.4004904
25.302399,26.408598,27.513636,26.464596,25.414833,25.126915,24.840693
-3.7249024,-4.0519004,-4.3794165,-4.140809,-3.9033992,-4.328708,-4.7557416
79.154816,79.695984,80.2364,80.70412,81.17204,81.46001,81.74855
-10.714636,-10.774755,-10.835338,-10.454837,-10.074426,-10.063472,-10.053363
48.795834,48.961777,49.127243,48.927597,48.72829,49.892986,51.057076
-51.391758,-51.26735,-51.14396,-51.35978,-51.576103,-52.349426,-53.122337
-5.3002625,-5.409359,-5.5182457,-5.9092913,-6.3009224,-5.7290792,-5.1575603
4.306298,3.456676,2.6063018,3.107841,3.6090493,4.958998,6.3075414
-43.014904,-44.20267,-45.39067,-44.67595,-43.96065,-42.590626,-41.21935
-29.255552,-29.419554,-29.583466,-29.86557,-30.145168,-29.93746,-29.729597
7.3508096,8.238008,9.126962,9.105181,9.082685,8.848681,8.613273
3.871763,3.7117121,3.5522711,3.2927306,3.0327866,1.3692935,-0.29539087
2.7597892,2.3736975,1.9871275,1.1566107,0.32664993,3.2681506,6.2097635
-40.022587,-40.46814,-40.9131,-41.12171,-41.330315,-41.13416,-40.938446
2.9081812,3.38485,3.8622818,4.331582,4.8005238,3.6948404,2.5895314
-2.7989085,-2.8775945,-2.9561982,-2.6025758,-2.2506495,-1.4151678,-0.57966995
-4.2792253,-5.321975,-6.3653965,-7.235895,-8.105511,-6.233051,-4.3599615
12.442964,12.649208,12.855252,13.70106,14.544777,12.40834,10.270479
21.153133,21.581987,22.010807,21.237793,20.464138,19.313799,18.165003
-0.34912995,0.5525005,1.4551799,0.5109794,-0.4326966,-0.6982415,-0.9636071
-57.34771,-58.47359,-59.59852,-58.62074,-57.64308,-58.472504,-59.30034
16.950289,16.972277,16.993994,15.838585,14.683459,14.840811,14.998223
18.714521,18.761889,18.81096,18.589415,18.367954,17.37206,16.375124
19.41014,18.681883,17.952358,16.105785,14.259624,13.957954,13.655844
-11.304291,-10.582489,-9.860735,-9.8630295,-9.86623,-9.948132,-10.030331
-43.690693,-44.474987,-45.25987,-45.448723,-45.63743,-45.312004,-44.988583
21.50084,21.348465,21.195887,20.497162,19.796772,19.867474,19.93879
-31.599558,-31.36726,-31.134338,-32.169926,-33.205784,-33.221706,-33.238674
-4.754351,-4.517122,-4.2798533,-4.06943,-3.8599448,-3.788179,-3.717318
-21.647858,-22.601372,-23.554995,-22.498951,-21.4423,-19.078238,-16.713585
-13.845245,-13.032631,-12.219352,-11.855904,-11.493253,-10.474995,-9.455739
-53.252655,-53.18122,-53.110126,-52.301815,-51.494423,-51.265198,-51.03772
15.036464,16.138714,17.241074,17.20695,17.172716,15.694736,14.216818
1.030493,0.5779879,0.12588385,0.32802752,0.5286772,0.83591247,1.1446664
36.65013,36.730145,36.80841,36.018703,35.229706,35.295013,35.361042
24.351183,23.795671,23.237894,23.63479,24.033028,25.16499,26.298193
-16.646404,-16.430275,-16.215246,-16.049496,-15.882344,-16.32735,-16.772308
55.409405,56.06422,56.718987,57.41032,58.100246,59.54718,60.994537
-34.674915,-34.759247,-34.844513,-34.866737,-34.889393,-33.31071,-31.732582
-49.403576,-49.985172,-50.566624,-49.514996,-48.464718,-47.626583,-46.78641
-11.769593,-12.6367855,-13.505056,-13.870273,-14.235548,-13.146573,-12.0586195
-42.529575,-43.796085,-45.061745,-45.14172,-45.22081,-44.937366,-44.653194
-76.63014,-76.48243,-76.332825,-75.77904,-75.224594,-75.30411,-75.38291
34.338257,33.705067,33.07114,32.53696,32.002678,30.088493,28.172989
16.244808,15.638171,15.031809,15.5219555,16.011896,17.0958,18.18031
44.46412,43.917896,43.37281,43.07601,42.779713,41.284992,39.791252
23.008564,21.04708,19.087032,18.876007,18.666866,17.722776,16.779654
31.568396,32.43465,33.30189,33.15004,32.999207,32.2005,31.402811
-73.37613,-73.358696,-73.34178,-72.52585,-71.71049,-69.93388,-68.15637
4.3508897,4.470323,4.588965,4.4194427,4.2496905,5.6463485,7.0435576
54.663662,54.57411,54.48454,53.907864,53.331425,52.873375,52.41585
38.685585,39.30477,39.924652,40.52717,41.130836,41.0484,40.966946
16.970978,17.506351,18.042877,18.98666,19.931826,21.466396,22.999958
-64.518616,-65.17689,-65.83356,-65.95717,-66.08175,-65.082405,-64.083595
-21.779285,-22.096243,-22.414316,-22.618032,-22.822006,-23.443491,-24.065716
-42.03497,-42.716187,-43.39692,-42.576187,-41.755928,-41.987267,-42.21864
-63.117928,-63.30461,-63.490494,-63.20473,-62.918022,-62.472687,-62.026733
-6.9588842,-7.8315835,-8.704826,-8.811165,-8.918195,-7.1686296,-5.4186654
4.587883,5.1863112,5.7848396,5.4808564,5.178295,5.8933535,6.6084266
41.91378,42.410583,42.90882,41.368923,39.829662,38.998753,38.16669
-13.563713,-13.344492,-13.125607,-13.869362,-14.61454,-15.424065,-16.235119
50.481792,50.891335,51.301003,51.473965,51.646744,50.031605,48.416733
55.190792,55.26021,55.33113,55.28709,55.242397,53.669987,52.096752
-47.121037,-47.485416,-47.8503,-48.186325,-48.523243,-47.95523,-47.38786
2.2704122,2.6222646,2.9741914,2.7406404,2.506107,2.833597,3.1608217
46.81409,47.181477,47.547848,47.934128,48.32053,50.08756,51.85377
-43.80112,-44.57605,-45.351707,-44.76572,-44.178303,-43.72296,-43.266605
23.330328,23.83159,24.33243,24.023054,23.71432,24.602163,25.489359
55.18852,56.095062,57.00093,57.66114,58.3208,58.199604,58.07813
24.000912,25.044722,26.08916,26.9144,27.739424,28.763716,29.789347
-48.226437,-48.36782,-48.509464,-48.593773,-48.67723,-47.144184,-45.61057
-32.218533,-32.352573,-32.486687,-31.947659,-31.409567,-30.204142,-28.999811
32.50715,31.812342,31.117996,31.768625,32.419926,34.429184,36.43789
17.813005,18.045605,18.276768,17.666437,17.055971,17.303911,17.549395
1.4122157,0.564096,-0.283216,0.22593164,0.73568773,1.0306029,1.3272367
28.719593,29.898682,31.077148,32.300007,33.52319,34.3361,35.14887
-45.61258,-45.380444,-45.1487,-45.048298,-44.94766,-44.7111,-44.474476
-64.29896,-64.086075,-63.872337,-63.783916,-63.697426,-63.466396,-63.234665
