2014 SVI No High School Diploma Encoding,2015 SVI No High School Diploma Encoding,2016 SVI No High School Diploma Encoding,2017 SVI No High School Diploma Encoding,2018 SVI No High School Diploma Encoding,2019 SVI No High School Diploma Encoding,2020 SVI No High School Diploma Encoding
3.5874887,2.95077,2.3134656,2.0970073,1.8804859,1.9317688,1.9835771
11.900953,11.267691,10.635677,10.2135105,9.790173,9.572687,9.356283
-34.859592,-35.19391,-35.52991,-35.88288,-36.236023,-35.114105,-33.991497
-149.29938,-149.02725,-148.75354,-147.71179,-146.66994,-146.3315,-145.99355
-35.117382,-34.757828,-34.396847,-35.01248,-35.629322,-36.001076,-36.374023
3.2691898,3.5881634,3.9075756,3.627904,3.347599,3.714594,4.08319
21.424747,21.268923,21.11083,21.219957,21.3296,20.443062,19.55665
-96.968216,-96.410385,-95.851105,-95.23152,-94.61021,-94.26406,-93.92041
-54.60431,-54.79324,-54.981915,-54.531178,-54.08173,-54.527325,-54.97455
-18.867382,-19.874569,-20.88106,-21.54974,-22.218517,-21.05529,-19.893883
8.134829,8.5013895,8.8672695,8.936619,9.005339,7.8873863,6.769319
7.2470894,7.55571,7.863202,8.368617,8.872894,9.650129,10.428055
-20.720612,-20.68005,-20.639114,-21.46575,-22.291107,-22.9804,-23.670055
-84.35265,-85.478966,-86.606415,-86.029655,-85.45373,-84.65812,-83.861305
-34.21891,-34.596706,-34.97422,-34.610672,-34.245846,-32.97056,-31.695492
-46.619965,-46.276752,-45.93208,-46.54605,-47.160645,-46.56379,-45.967117
12.825966,12.803516,12.780442,12.773926,12.769542,11.336303,9.900169
-18.563477,-18.882786,-19.20426,-19.353762,-19.504751,-20.033724,-20.562569
27.328514,29.01886,30.708643,30.748894,30.787601,30.040668,29.293583
51.253525,52.092613,52.93273,53.128716,53.323784,52.206684,51.08949
-23.090229,-23.475424,-23.861788,-24.188229,-24.514893,-24.827856,-25.141882
-5.767103,-4.9683113,-4.169834,-4.318245,-4.4657545,-4.7746153,-5.084591
31.102036,30.788256,30.474556,29.895554,29.316542,28.929354,28.541126
73.900314,73.91058,73.920944,73.18547,72.45155,72.47316,72.49678
27.016956,26.723835,26.429337,25.849993,25.269693,26.096819,26.92366
16.358952,17.064507,17.771526,17.661774,17.552734,17.416954,17.2798
-47.66087,-47.907803,-48.15629,-47.628826,-47.102283,-46.87917,-46.65554
-6.941791,-6.829041,-6.7163696,-6.692867,-6.669491,-6.356854,-6.0434957
-8.918719,-9.518751,-10.11893,-9.919505,-9.719252,-10.295097,-10.870559
65.44889,66.13892,66.82874,67.0825,67.33683,66.78125,66.2271
-107.84844,-108.17832,-108.508934,-106.3694,-104.22868,-103.77813,-103.32752
-17.990871,-18.708649,-19.425493,-20.358122,-21.289976,-22.551085,-23.811974
-11.157757,-11.081839,-11.0058975,-10.286425,-9.567125,-10.038868,-10.511225
48.508217,48.23549,47.964653,47.73186,47.499786,47.650555,47.801186
-101.66502,-101.71734,-101.768616,-100.40528,-99.04055,-98.45673,-97.872925
-72.79169,-73.009026,-73.22578,-73.08877,-72.952126,-72.953606,-72.95683
-30.645544,-31.158272,-31.670357,-31.680262,-31.691875,-31.340986,-30.99102
33.8363,32.885754,31.935928,32.80646,33.676468,33.179157,32.68305
53.326065,54.318447,55.312336,55.610897,55.90915,55.95725,56.006622
-60.24575,-59.933365,-59.61942,-59.35088,-59.081562,-59.592197,-60.10319
-3.2209508,-2.501991,-1.7821515,-1.9849217,-2.187753,-2.1946766,-2.2000854
-18.714216,-18.906864,-19.09991,-18.73967,-18.380531,-18.606907,-18.834272
-72.29574,-72.2239,-72.15395,-72.141335,-72.12866,-72.49626,-72.86324
49.06775,49.541073,50.01286,50.07545,50.140507,50.164524,50.188526
46.3222,47.277477,48.235012,48.046726,47.85961,47.352814,46.84772
56.836735,56.245518,55.65384,55.327995,55.00432,55.99323,56.982597
-71.918236,-72.21624,-72.51568,-72.771355,-73.027115,-73.09269,-73.1571
5.3011093,5.901655,6.502493,6.675438,6.8503036,6.358881,5.866762
-68.97992,-68.9314,-68.880936,-68.055756,-67.23195,-66.81651,-66.40155
45.672462,45.47478,45.277298,45.11999,44.96269,45.043236,45.125076
49.82772,50.233696,50.640438,50.419693,50.20046,49.790684,49.38257
-65.569435,-65.32943,-65.09081,-64.74492,-64.399,-64.69729,-64.99701
