2014 SVI Disability Encoding,2015 SVI Disability Encoding,2016 SVI Disability Encoding,2017 SVI Disability Encoding,2018 SVI Disability Encoding,2019 SVI Disability Encoding,2020 SVI Disability Encoding
65.336075,67.02882,68.80283,68.020164,67.23645,65.660065,64.083405
53.36474,53.826027,54.410126,54.811054,55.2116,55.98051,56.751225
-17.19367,-17.505901,-17.693344,-18.102814,-18.510101,-17.15425,-15.79997
111.17599,111.86373,112.563225,111.277626,109.99591,109.56677,109.13558
36.608566,37.060524,37.649292,37.44252,37.236176,37.506172,37.776833
-66.37233,-67.820335,-69.16892,-70.376656,-71.58571,-71.52651,-71.46845
-12.952782,-13.950625,-14.914161,-15.235925,-15.557708,-14.454978,-13.351783
-3.4908004,-3.4974399,-3.6101527,-4.7241454,-5.837911,-6.540729,-7.2425857
22.764719,22.875027,23.119846,24.484833,25.849766,25.328587,24.805344
-53.459064,-53.986935,-54.650032,-54.966175,-55.283295,-53.90778,-52.532475
34.068207,34.619366,35.205433,35.172886,35.141087,34.675056,34.20879
-1.3977798,-1.1078724,-0.8262647,0.5021607,1.8314158,1.6764427,1.523131
31.317703,31.929657,32.52066,33.30629,34.09257,34.30693,34.52344
44.18849,44.984135,45.918186,45.952347,45.986115,46.39091,46.796314
-58.970894,-58.796272,-58.53112,-57.365105,-56.199978,-57.050613,-57.902237
-79.17072,-79.85147,-80.52212,-81.47821,-82.43476,-82.49382,-82.55359
34.24721,33.461338,32.800648,32.5026,32.203667,31.307695,30.413027
-5.6438036,-5.2305303,-4.972248,-5.065596,-5.159257,-4.752813,-4.3444524
45.34825,45.197563,45.165115,44.508923,43.851982,43.022373,42.19216
-87.74568,-88.26492,-88.884865,-87.84425,-86.805115,-86.10925,-85.41545
79.31419,78.958305,78.57875,78.98092,79.3831,79.25698,79.13193
3.8073828,4.141596,4.479917,4.9409246,5.4006605,5.6857634,5.970401
-0.08771788,0.50175965,1.1144782,1.248458,1.383874,1.0927478,0.79985535
93.05067,92.61001,92.08574,91.9325,91.777596,92.564644,93.35231
23.634722,24.041239,24.327553,23.529419,22.7319,21.556826,20.380426
-46.62692,-46.832653,-46.936092,-47.78997,-48.641193,-49.064686,-49.488224
-80.02529,-81.43541,-83.03199,-83.89954,-84.766914,-84.14698,-83.52575
8.352925,8.822945,9.373819,10.0896015,10.807373,10.71703,10.6255245
70.05932,69.20703,68.26146,67.54153,66.821945,66.63209,66.442955
49.76835,49.984497,50.0255,50.200397,50.37414,49.798695,49.220913
-71.32964,-71.95618,-72.7462,-72.40602,-72.06537,-71.410805,-70.75337
-30.303835,-31.599257,-32.7758,-32.90546,-33.035538,-33.199383,-33.36198
31.370758,31.866737,32.336704,32.171646,32.004383,31.199345,30.396069
-58.279793,-58.949127,-59.738342,-59.000908,-58.263767,-57.019287,-55.77334
-40.23365,-41.43231,-42.612553,-42.44693,-42.282093,-41.532936,-40.781704
-52.638252,-52.745483,-52.731293,-52.753464,-52.776207,-52.29927,-51.821877
40.5978,40.84313,41.17915,42.909386,44.640667,44.241013,43.840496
80.20501,82.205986,84.25394,84.23059,84.206116,81.82248,79.44108
17.318626,17.388226,17.57616,18.03603,18.496294,18.935165,19.37209
-9.164643,-7.7655706,-6.264688,-4.2843776,-2.3034084,-1.3503147,-0.39968938
0.66213936,-0.6093717,-1.7447534,-2.1815248,-2.6196485,-2.8751512,-3.1295934
-16.428482,-16.82737,-17.352505,-18.42109,-19.490246,-19.414381,-19.340122
20.637472,20.09853,19.528753,20.26067,20.992039,21.644453,22.296942
43.81412,43.6598,43.441418,43.69999,43.95803,43.604065,43.250984
-7.819938,-7.1936965,-6.5677495,-5.9699006,-5.3740187,-5.2367253,-5.1000476
-40.693302,-40.87331,-41.05228,-40.330162,-39.6061,-39.2647,-38.92341
-19.10865,-18.896719,-18.766037,-18.217278,-17.670202,-16.54857,-15.424845
9.653034,9.070716,8.592778,8.356868,8.121234,9.471999,10.823651
32.53748,32.981,33.494152,33.461773,33.429665,33.847485,34.264156
-22.642214,-21.384993,-19.935556,-19.63534,-19.334784,-19.891817,-20.44874
29.087349,30.11281,31.005919,31.261656,31.517529,30.298489,29.080889
31.979733,32.26128,32.560852,32.570004,32.579353,33.313812,34.04788
-2.2860842,-1.1915663,-0.04749763,-0.13637531,-0.22449672,-0.5166968,-0.81001174
-5.5900974,-5.502268,-5.5069532,-5.143443,-4.7785244,-5.139677,-5.5014057
-51.712395,-51.514668,-51.282143,-50.47103,-49.660362,-49.3518,-49.043873
4.4973016,5.273275,5.891997,6.444265,6.997535,7.091992,7.1869073
21.265854,21.27843,21.276402,22.266998,23.256948,24.080124,24.90289
6.6330485,6.7092824,6.771849,8.258762,9.746546,9.311003,8.8771925
-55.246197,-55.089245,-54.850452,-56.102444,-57.35618,-58.398754,-59.441418
-40.14285,-40.054398,-40.050934,-39.391502,-38.7321,-37.85934,-36.98472
-5.548734,-5.6769767,-5.747629,-5.7808228,-5.8130484,-5.20485,-4.5975223
-4.596866,-4.766229,-5.0386252,-5.7394195,-6.4396644,-5.461883,-4.4861674
31.678694,31.521582,31.32507,30.728699,30.132683,30.184969,30.238132
4.1797547,4.2331347,4.3055825,5.110169,5.915238,5.7011857,5.486489
21.61556,22.17982,22.618467,21.365604,20.111643,19.89557,19.677359
3.9462435,3.4271262,2.7900126,3.4392245,4.087176,4.342112,4.597714
-1.4743012,-1.9209746,-2.3910167,-2.632859,-2.873946,-2.1306922,-1.3888491
-49.138855,-51.093964,-53.1019,-53.846184,-54.591576,-54.626648,-54.660767
-39.506668,-39.827354,-39.98565,-40.79588,-41.60592,-40.813557,-40.021248
