2014 SVI Group Quarters Encoding,2015 SVI Group Quarters Encoding,2016 SVI Group Quarters Encoding,2017 SVI Group Quarters Encoding,2018 SVI Group Quarters Encoding,2019 SVI Group Quarters Encoding,2020 SVI Group Quarters Encoding
-30.14161,-30.414917,-30.689089,-29.49044,-28.291956,-28.07618,-27.860249
-40.816345,-41.1596,-41.5028,-41.29136,-41.07912,-41.200127,-41.321934
-32.93071,-33.31845,-33.708378,-33.37126,-33.034546,-32.536415,-32.038757
51.985386,51.930477,51.874874,51.883484,51.892414,51.967308,52.04382
-38.596992,-38.688526,-38.780594,-38.360195,-37.939095,-37.718777,-37.4992
-0.9093211,-0.90798026,-0.90646964,-0.96265346,-1.0174669,-1.2243513,-1.4295067
-44.942917,-45.73518,-46.526695,-46.53597,-46.543884,-46.660843,-46.77797
-21.083761,-21.191988,-21.302097,-20.913887,-20.526451,-20.439743,-20.352192
70.74869,71.47492,72.199,71.87675,71.55303,71.35876,71.16271
-96.89263,-96.9288,-96.96521,-96.2163,-95.46792,-95.36579,-95.26574
-52.388546,-53.03335,-53.677963,-53.3264,-52.975475,-53.111073,-53.24721
14.608019,14.199144,13.790443,14.076924,14.364453,14.947504,15.529404
-10.549315,-10.2337,-9.916247,-10.125172,-10.333607,-10.533894,-10.73683
-15.714324,-16.236544,-16.759113,-16.532555,-16.305635,-16.518742,-16.731663
69.16838,69.41613,69.663536,68.99307,68.3218,68.38498,68.45024
-17.897463,-18.169098,-18.440594,-18.30916,-18.178675,-18.410517,-18.643711
-55.47809,-55.96924,-56.46056,-55.57364,-54.68826,-54.669304,-54.65406
-32.288696,-32.334843,-32.383495,-32.217133,-32.050392,-31.599367,-31.14963
13.994438,14.110357,14.225824,14.397906,14.569736,15.4388075,16.30778
11.787791,11.776246,11.763357,11.025894,10.288478,10.055209,9.8200445
-25.842777,-26.024334,-26.207058,-26.292795,-26.379728,-26.66801,-26.95383
-49.683407,-50.71462,-51.747112,-51.350445,-50.953693,-51.00268,-51.05281
13.506894,12.8893385,12.272737,12.082882,11.89377,11.941069,11.987042
14.107565,14.348408,14.588033,15.2264805,15.863987,16.0084,16.15428
43.321,42.852924,42.384308,42.02826,41.67281,41.990818,42.30923
-22.655258,-23.163437,-23.671946,-23.3605,-23.050053,-22.68945,-22.330143
-9.395337,-8.997278,-8.599928,-8.207874,-7.813381,-8.244436,-8.676468
-52.06049,-52.55354,-53.046707,-52.443436,-51.840633,-51.842766,-51.84572
19.981182,20.331762,20.68068,20.858831,21.03733,21.078087,21.119083
-34.886166,-34.862553,-34.84148,-34.03344,-33.22415,-33.125263,-33.025944
-33.784676,-34.065468,-34.34725,-34.279015,-34.210407,-34.061337,-33.912666
58.030205,58.69597,59.361073,58.718895,58.076042,58.36308,58.651726
62.34755,62.591816,62.835182,62.342365,61.84968,62.439453,63.02945
70.16045,69.940704,69.721245,69.197174,68.67299,69.146255,69.61923
71.48734,71.70138,71.915596,70.998146,70.07932,70.21348,70.347466
74.90822,74.9229,74.93718,74.37422,73.81264,73.39159,72.97033
-21.462591,-21.52879,-21.5951,-21.873634,-22.151165,-22.11971,-22.088436
63.736004,64.377495,65.02049,64.39724,63.77305,63.1765,62.58016
40.18314,40.288754,40.39566,39.963966,39.53149,39.95133,40.37004
3.625993,3.6402256,3.6533139,3.7632,3.8718464,3.837415,3.8014348
-34.25493,-33.790356,-33.32554,-32.54716,-31.769373,-31.529934,-31.28882
40.23483,40.611015,40.98711,40.542202,40.09643,40.01198,39.930176
-65.66069,-66.44018,-67.22019,-67.34154,-67.463165,-67.14636,-66.8308
7.957093,8.518273,9.079636,8.74763,8.41504,8.68945,8.962874
-35.189255,-35.19674,-35.204823,-34.994858,-34.784405,-34.424862,-34.065315
64.0339,64.096054,64.15829,63.553738,62.94903,62.946808,62.946003
-65.382385,-65.54178,-65.70207,-65.424,-65.145,-65.738815,-66.33319
-24.224318,-24.855639,-25.488688,-25.71562,-25.943508,-26.686514,-27.429447
-125.81425,-126.364784,-126.914406,-125.61005,-124.30616,-124.51164,-124.71715
25.312616,25.495256,25.678656,25.618895,25.557024,26.254961,26.952814
3.4262502,3.7407243,4.0556927,3.9683435,3.8811624,3.5398633,3.197645
-30.576977,-31.093533,-31.610104,-30.780136,-29.950308,-29.64195,-29.332787
25.211206,25.762745,26.31379,26.44629,26.577217,27.05377,27.529617
6.443892,5.5967736,4.748837,4.027333,3.3036714,3.251328,3.199532
-9.402492,-10.241876,-11.082725,-11.752596,-12.423145,-13.031692,-13.640449
97.42588,97.82625,98.22518,97.205666,96.185425,95.67492,95.1654
37.581635,38.380505,39.179474,38.940487,38.702328,38.456112,38.211155
34.06618,34.320255,34.575806,34.036404,33.496418,33.580902,33.664787
6.379969,6.391891,6.404861,5.9304957,5.4556117,5.5234723,5.5908437
-9.15971,-9.639867,-10.120971,-10.017262,-9.912854,-9.338802,-8.764036
-66.20788,-66.05967,-65.912094,-64.77544,-63.639763,-63.36482,-63.092197
48.81582,49.20654,49.59878,49.317455,49.036686,48.963047,48.891434
28.35725,27.892233,27.428528,26.884453,26.341188,27.020985,27.702087
-49.007812,-48.95255,-48.89542,-47.862682,-46.827362,-46.56459,-46.302586
-15.25556,-15.5996685,-15.942137,-16.030943,-16.120548,-16.077223,-16.03245
-25.582626,-25.39246,-25.202631,-24.940056,-24.678429,-24.841343,-25.002666
25.954588,26.014107,26.074163,25.801579,25.529907,25.590916,25.653347
-62.852634,-63.45612,-64.05942,-63.14541,-62.23102,-61.48641,-60.740665
77.912735,78.725525,79.537994,79.05293,78.56726,79.06059,79.55374
24.058336,24.115582,24.170923,23.762543,23.356003,23.361496,23.368242
-11.082108,-11.2183485,-11.354703,-11.465517,-11.576225,-11.595936,-11.614218
-50.953762,-52.025707,-53.097847,-52.51366,-51.932156,-51.693806,-51.453808
-53.17699,-53.45442,-53.73121,-53.327175,-52.9226,-53.045242,-53.168285
38.634552,37.877045,37.11696,36.314922,35.511497,35.63981,35.76941
-33.85626,-34.509716,-35.162823,-34.221592,-33.281197,-32.885372,-32.489693
25.398567,25.375637,25.352934,24.786377,24.219732,23.957258,23.696644
63.002945,63.71612,64.429276,64.23063,64.03179,64.03057,64.026924
10.512844,11.254091,11.9941845,12.454199,12.914064,13.101702,13.289233
7.2887034,7.491069,7.6938004,8.130968,8.568768,8.87129,9.173374
76.456314,76.80589,77.15611,76.64847,76.14232,76.0045,75.86819
7.0054417,6.522331,6.040471,5.477195,4.915265,4.349436,3.784456
6.086173,5.8552294,5.622773,5.430232,5.2369413,5.42542,5.613126
-21.727448,-21.527464,-21.32748,-20.93455,-20.542997,-20.27728,-20.01257
49.36804,49.650425,49.932796,49.10173,48.27078,47.917515,47.5636
3.0293267,3.8410008,4.652638,4.19511,3.736193,3.386617,3.0364869
-50.51915,-50.84695,-51.17582,-50.77118,-50.36573,-50.00444,-49.644505
22.239315,21.622936,21.00783,20.395939,19.783937,19.587404,19.393223
-52.49446,-52.749428,-53.005398,-52.110268,-51.216797,-50.86414,-50.512062
65.47692,65.71498,65.95391,65.82175,65.69007,66.132866,66.57391
-37.75935,-37.66967,-37.579372,-37.019043,-36.458668,-36.291077,-36.123886
-16.338446,-16.351347,-16.36422,-16.033297,-15.700486,-15.825171,-15.947325
120.17812,121.12281,122.06805,121.55964,121.04958,121.18926,121.33054
-59.678658,-59.562183,-59.445633,-58.42447,-57.404278,-57.119003,-56.834385
-32.722813,-32.786434,-32.850662,-32.39895,-31.947994,-32.215004,-32.481983
-102.148544,-103.524826,-104.90175,-104.34807,-103.79504,-103.54736,-103.30064
-25.21722,-25.670982,-26.125858,-25.853388,-25.580334,-25.40483,-25.230667
25.317673,26.229988,27.141718,27.49674,27.851086,27.616318,27.382812
-41.56405,-41.81017,-42.056904,-41.146038,-40.235806,-39.75668,-39.27744
1.83633,1.1608645,0.4852653,0.60270554,0.7201715,1.0793463,1.4392391
4.7258215,5.277255,5.828413,5.866866,5.905411,5.680249,5.4521575
45.52608,45.60124,45.676716,45.217777,44.75844,44.90611,45.052536
67.60988,68.31459,69.021065,69.07668,69.13109,69.112976,69.09381
40.810627,40.87299,40.934155,40.61569,40.29607,40.139202,39.9811
-37.3522,-37.660244,-37.96844,-37.960453,-37.952526,-37.579082,-37.20743
-4.28272,-4.5304165,-4.7801294,-4.951485,-5.1237087,-4.905129,-4.68633
-7.2105355,-6.829015,-6.4465947,-5.9736075,-5.501774,-5.0398965,-4.578919
-34.03537,-34.566216,-35.099083,-35.580036,-36.060043,-36.535355,-37.01113
-19.282923,-19.683548,-20.084846,-20.293642,-20.504194,-20.546295,-20.588556
-20.519114,-19.923193,-19.3258,-19.572933,-19.819235,-20.115923,-20.411642
-48.128044,-48.64901,-49.172432,-48.391407,-47.611744,-47.450626,-47.289867
32.5271,32.802906,33.078682,32.641586,32.203194,32.545433,32.88938
