2014 SVI Single-Parent Household Encoding,2015 SVI Single-Parent Household Encoding,2016 SVI Single-Parent Household Encoding,2017 SVI Single-Parent Household Encoding,2018 SVI Single-Parent Household Encoding,2019 SVI Single-Parent Household Encoding,2020 SVI Single-Parent Household Encoding
-7.824584,-8.006202,-8.186366,-7.810714,-7.441535,-4.6243687,-1.9356339
37.297955,37.39396,37.489864,36.109608,34.72063,32.53613,30.225924
-21.262783,-19.921886,-18.58212,-16.373995,-14.169859,-13.695999,-13.304717
3.2902412,2.385786,1.4818269,1.6968709,1.9153177,2.739315,3.4649544
-14.1074,-14.795705,-15.483101,-17.032997,-18.5955,-22.219545,-25.68958
4.4723516,4.5570636,4.6407204,5.875122,7.112733,10.813737,14.501469
92.46434,91.78839,91.1127,90.56044,90.024414,89.95606,89.97655
29.878342,29.305307,28.73153,26.409803,24.084509,22.542723,21.058586
-83.772804,-85.6554,-87.53827,-86.710884,-85.895546,-84.42498,-82.847206
60.00334,59.638687,59.273354,58.97375,58.657303,58.327137,57.865932
-0.7280696,-0.27725488,0.173639,1.0773795,1.9808824,1.1483696,0.45191735
-41.92137,-42.821888,-43.72267,-41.06682,-38.425896,-39.042267,-39.887806
-18.694908,-18.699577,-18.704721,-18.35387,-18.005108,-19.135784,-20.240944
-33.533894,-33.97552,-34.417168,-35.51733,-36.61949,-38.54679,-40.560333
-10.784706,-10.137267,-9.491839,-8.956322,-8.413681,-8.887427,-9.480925
22.267967,21.069927,19.87158,21.404575,22.930403,22.07124,21.222248
11.287648,11.186948,11.085071,9.286466,7.497209,5.7069354,3.9551504
-47.100952,-45.842655,-44.584473,-45.220394,-45.858913,-46.613758,-47.346054
0.7206035,0.0043774117,-0.71139854,0.325203,1.3452091,-1.3464704,-4.0025787
55.856422,55.670177,55.483727,57.804684,60.123466,58.225574,56.38818
-48.42793,-48.431408,-48.434322,-48.454678,-48.466465,-50.506786,-52.491497
-8.891152,-8.7983885,-8.705133,-11.81622,-14.941441,-14.60734,-14.317547
-25.581827,-25.958698,-26.33613,-25.958593,-25.595018,-24.291191,-23.17807
-1.0053209,-2.1297886,-3.2535164,-4.7395844,-6.2382283,-6.357927,-6.4979873
71.63508,72.40653,73.1778,71.181854,69.17911,66.61666,64.08809
45.97939,45.12246,44.26561,41.38391,38.51577,37.532173,36.504803
19.929512,20.6157,21.301435,22.965002,24.622559,23.544989,22.407955
-47.239536,-48.873417,-50.507286,-48.844574,-47.192333,-49.246986,-51.25296
15.633245,15.425668,15.217097,15.842254,16.470602,18.198565,19.916395
-64.95371,-66.952484,-68.951,-71.43357,-73.898994,-76.281296,-78.56306
65.06072,66.78119,68.502304,68.27743,68.03448,66.9601,65.73276
-73.056816,-73.1527,-73.24878,-71.323326,-69.390015,-68.05594,-66.66175
