2014 SVI Multi-Unit Structures Encoding,2015 SVI Multi-Unit Structures Encoding,2016 SVI Multi-Unit Structures Encoding,2017 SVI Multi-Unit Structures Encoding,2018 SVI Multi-Unit Structures Encoding,2019 SVI Multi-Unit Structures Encoding,2020 SVI Multi-Unit Structures Encoding
-0.052191354,-0.14562187,-0.23984489,0.07560768,0.3909935,0.2726616,0.15419236
-6.7379956,-7.89774,-9.057976,-8.696458,-8.335402,-8.226001,-8.117
7.6052604,7.1728,6.739573,7.2392926,7.737452,7.4345593,7.1293244
-9.26936,-8.074459,-6.8786373,-5.3003254,-3.7228441,-2.47542,-1.2283869
-11.466709,-11.741465,-12.017381,-12.981088,-13.945733,-14.52569,-15.10528
-2.6599724,-2.3659337,-2.0694745,-1.2898791,-0.5113108,-0.50820947,-0.5059321
-26.519516,-27.212328,-27.905144,-27.785776,-27.665321,-27.371944,-27.076998
-0.7861068,-0.44144037,-0.09780481,-0.48273352,-0.86820436,-1.5752494,-2.2810118
19.535517,18.830957,18.1253,19.462828,20.799984,20.255095,19.711308
1.1325397,1.287148,1.4422631,1.2895169,1.1367993,1.4291406,1.7222819
57.10036,57.517773,57.936756,57.96229,57.989414,58.190403,58.390892
72.60325,72.815094,73.02658,73.1223,73.2191,73.92904,74.63794
5.3355064,6.18013,7.026097,7.880365,8.735319,9.090349,9.44768
11.196753,11.370529,11.543535,10.740687,9.940886,10.138277,10.336764
-40.37424,-40.766445,-41.159218,-40.782253,-40.40536,-40.03726,-39.668888
-0.39516532,-1.0276965,-1.6607856,-2.0660334,-2.4697723,-2.9637508,-3.4582806
115.69564,115.60876,115.51967,114.90733,114.29562,113.23354,112.16943
5.3981805,5.2045093,5.0101733,4.2587323,3.5072494,2.7721305,2.0375905
14.802041,15.07714,15.351724,15.803216,16.253122,15.024444,13.796018
-12.765487,-12.887466,-13.009674,-13.6015,-14.193049,-15.040756,-15.889402
7.4307785,6.930149,6.4300036,6.75456,7.0794177,7.1395125,7.1975656
54.887672,54.544548,54.198723,54.83579,55.473278,55.08438,54.69548
37.278843,38.152832,39.026516,38.367374,37.706673,37.776814,37.847034
51.68917,51.871075,52.05252,51.37062,50.687515,52.168915,53.649937
64.32339,64.080765,63.83782,63.817993,63.798096,66.20895,68.61919
66.01961,65.60288,65.18703,65.02707,64.86543,63.065178,61.263557
-41.53736,-41.72862,-41.920498,-42.847332,-43.773014,-44.309147,-44.84554
-63.27357,-64.17965,-65.08643,-64.57225,-64.058846,-65.40871,-66.75906
-27.967304,-28.589993,-29.211231,-28.944057,-28.675472,-28.189892,-27.703941
39.73714,40.31846,40.900105,39.97798,39.05358,38.607437,38.16174
98.85317,99.24872,99.643814,98.18318,96.72111,96.247856,95.77537
-3.1719,-3.148825,-3.1261313,-2.7222788,-2.3176901,-0.5953658,1.1269604
-10.624709,-10.615932,-10.607742,-10.242471,-9.877248,-9.306612,-8.737452
-42.464172,-43.319782,-44.17514,-43.903923,-43.63328,-43.48849,-43.34491
-20.251705,-20.733267,-21.213472,-20.462103,-19.711956,-18.164684,-16.6173
-11.428127,-11.259985,-11.091368,-9.881723,-8.670005,-8.08535,-7.499337
13.422047,13.988079,14.552522,14.732989,14.913411,15.2528925,15.59214
15.078163,15.075668,15.072921,15.748252,16.424788,17.1522,17.879494
-43.33727,-43.560413,-43.784023,-43.966637,-44.14977,-44.39492,-44.64015
36.969166,36.774483,36.58071,36.64149,36.70156,36.76763,36.833546
35.888752,35.724483,35.560818,36.351177,37.14159,37.97207,38.802288
132.70143,133.03339,133.36427,131.69028,130.0154,130.11652,130.2171
-44.084087,-43.198437,-42.31363,-42.764164,-43.215046,-44.19089,-45.16701
-29.611845,-30.123268,-30.63531,-30.846437,-31.056826,-31.290413,-31.523054
-26.189959,-26.4689,-26.748945,-26.882524,-27.016298,-27.779085,-28.541918
42.266224,42.13085,41.99682,41.325024,40.651764,41.466312,42.280773
-1.6931659,-2.5579557,-3.4202137,-2.749486,-2.0794964,-1.8086282,-1.5370141
8.357318,7.483861,6.6104984,5.381036,4.1513147,4.44633,4.7394
9.813613,9.476378,9.139597,8.395871,7.65019,8.319355,8.9892435
15.459509,15.681183,15.902161,15.3888645,14.874857,14.6145115,14.353299
2.0214775,2.4480197,2.874462,2.242442,1.6092756,0.47479036,-0.6599094
23.496408,24.120697,24.745035,25.158476,25.572203,24.979784,24.387129
62.89769,63.41977,63.941814,64.20437,64.46826,65.08238,65.69542
24.99107,25.26216,25.533314,25.719995,25.906076,25.483955,25.063171
-54.830162,-56.401955,-57.97424,-57.453835,-56.933258,-55.35478,-53.775356
45.059616,44.5188,43.979286,43.91462,43.849213,44.216118,44.583996
7.6442547,8.38921,9.133953,8.544674,7.954565,7.370968,6.7865334
91.65687,92.303345,92.950325,91.66451,90.380714,90.87028,91.36059
87.48307,87.69306,87.90328,86.689445,85.47514,85.96773,86.45934
18.821758,19.859211,20.897749,20.676603,20.45521,20.274792,20.094965
15.159281,14.97715,14.7953,14.774267,14.752356,13.282179,11.811205
143.7709,144.26321,144.75557,145.99991,147.2427,146.98149,146.71979
62.431164,63.180786,63.93035,62.93062,61.93183,62.207638,62.483753
38.294956,38.7314,39.167656,38.770943,38.374233,38.253555,38.132454
-2.8836107,-3.4143133,-3.94592,-3.4974585,-3.0487623,-2.5704489,-2.0916052
65.36134,64.925186,64.488525,65.10388,65.71921,65.39065,65.06129
-37.60926,-38.74987,-39.889893,-40.23755,-40.586143,-41.118126,-41.650856
-6.5055695,-6.431596,-6.356762,-6.965006,-7.571952,-7.6007085,-7.6297097
-25.682146,-24.536453,-23.390463,-25.087397,-26.784466,-27.062609,-27.339796
67.57087,67.89531,68.221085,67.78691,67.35301,66.72318,66.09464
-36.04035,-36.557407,-37.07483,-36.244232,-35.413387,-34.42897,-33.445248
40.66874,40.96863,41.267292,40.519108,39.772854,40.22687,40.6815
-12.186821,-11.801852,-11.417237,-11.085734,-10.756091,-10.244555,-9.733436
-11.864433,-11.753499,-11.641484,-12.218371,-12.795854,-13.224914,-13.654794
2.3943508,1.9418696,1.487976,1.4251965,1.3612179,1.23468,1.1078337
-18.033104,-17.842602,-17.653915,-17.309835,-16.96403,-16.970133,-16.975208
8.787488,8.88485,8.983384,9.711005,10.438901,10.670951,10.904024
-10.052687,-10.3766985,-10.701529,-11.440232,-12.178754,-12.708872,-13.239117
-8.531912,-8.439098,-8.346088,-9.1622505,-9.97797,-10.389927,-10.800895
-92.17138,-91.77306,-91.3754,-91.075035,-90.77497,-91.00242,-91.23044
-4.5279336,-4.388903,-4.2505574,-4.2596345,-4.2691827,-5.0678277,-5.867066
-61.33882,-60.98303,-60.6263,-61.077103,-61.529366,-60.138588,-58.747143
-11.593141,-11.413668,-11.233973,-11.079933,-10.925756,-11.237292,-11.547559
-119.35368,-120.02334,-120.69213,-119.76685,-118.842064,-117.890236,-116.93603
31.212978,31.464659,31.715794,30.8616,30.006866,30.49937,30.990948
-29.869484,-29.491367,-29.114237,-28.903128,-28.692226,-28.438183,-28.18386
-38.87627,-38.48535,-38.09239,-38.205498,-38.319633,-37.791668,-37.263016
