2014 SVI Disability Data and Encoding,2015 SVI Disability Data and Encoding,2016 SVI Disability Data and Encoding,2017 SVI Disability Data and Encoding,2018 SVI Disability Data and Encoding,2019 SVI Disability Data and Encoding,2020 SVI Disability Data and Encoding
3.09,3.58,4.08,3.52,2.96,3.07,3.18
15.09,14.23,13.37,15.22,17.06,18.26,19.45
38.78,41.48,44.19,44.34,44.48,39.34,34.21
2.32,2.37,2.42,2.41,2.39,2.78,3.18
12.61,12.66,12.7,11.33,9.96,9.53,9.1
90.19,87.64,85.1,79.34,73.58,67.39,61.2
12.61,13.53,14.45,14.47,14.49,14.85,15.21
28.84,26.56,24.29,21.74,19.2,18.56,17.92
3.76,4.19,4.62,4.42,4.23,5.86,7.48
13.34,12.72,12.1,11.64,11.17,12.6,14.04
5.76,6.08,6.4,6.0,5.6,6.06,6.52
10.98,10.72,10.47,9.22,7.96,7.44,6.91
18.94,19.6,20.25,20.72,21.2,21.01,20.81
13.72,13.21,12.7,13.91,15.12,15.5,15.88
2.23,2.18,2.13,2.14,2.16,2.05,1.94
8.25,6.98,5.7,5.81,5.92,6.42,6.91
1.69,1.54,1.4,1.45,1.5,1.61,1.72
4.11,5.46,6.81,9.62,12.42,13.58,14.74
74.59,73.78,72.97,70.96,68.96,69.98,71.01
56.73,65.61,74.5,50.88,27.25,42.86,58.47
83.79,83.98,84.18,81.98,79.78,77.2,74.63
14.45,17.08,19.71,20.46,21.2,19.94,18.68
15.09,16.79,18.5,18.85,19.2,17.54,15.88
32.51,31.38,30.25,28.75,27.25,26.24,25.24
36.01,33.67,31.33,32.24,33.14,27.42,21.71
79.08,80.61,82.14,82.49,82.84,79.93,77.02
94.08,94.35,94.62,91.39,88.16,78.23,68.3
13.72,16.98,20.25,19.73,19.2,17.54,15.88
74.59,78.72,82.84,80.23,77.62,80.01,82.4
8.63,9.22,9.81,10.49,11.17,11.33,11.49
10.32,8.7,7.07,5.56,4.04,5.76,7.48
65.87,64.74,63.61,58.63,53.65,50.41,47.17
10.32,10.06,9.81,9.38,8.95,9.91,10.88
55.71,66.6,77.49,75.54,73.58,70.35,67.12
4.52,4.17,3.82,3.58,3.34,4.12,4.9
39.83,43.11,46.39,43.57,40.75,45.12,49.49
94.08,95.2,96.31,91.55,86.79,81.53,76.26
94.97,96.91,98.85,98.04,97.23,92.47,87.71
2.32,2.22,2.13,1.91,1.69,1.7,1.72
2.74,2.51,2.29,2.04,1.78,1.56,1.34
