2014 SVI Below Poverty Data and Encoding,2015 SVI Below Poverty Data and Encoding,2016 SVI Below Poverty Data and Encoding,2017 SVI Below Poverty Data and Encoding,2018 SVI Below Poverty Data and Encoding,2019 SVI Below Poverty Data and Encoding,2020 SVI Below Poverty Data and Encoding
2.96,5.06,7.16,19.22,31.27,26.02,20.78
21.43,21.35,21.27,32.36,43.44,51.85,60.25
64.31,66.57,68.83,63.86,58.89,53.54,48.19
57.12,60.96,64.79,64.09,63.38,49.2,35.01
25.63,22.18,18.72,18.63,18.54,30.96,43.38
90.83,88.46,86.09,88.74,91.4,91.68,91.95
4.23,7.45,10.67,14.4,18.12,13.0,7.89
6.43,4.61,2.8,2.38,1.97,5.34,8.72
65.71,45.74,25.76,14.95,4.14,27.12,50.1
8.15,8.23,8.31,6.99,5.67,3.14,0.6
79.97,78.68,77.4,75.96,74.52,73.7,72.88
69.63,72.81,75.99,75.26,74.52,71.22,67.92
54.25,41.47,28.69,28.36,28.03,36.77,45.51
73.77,72.62,71.47,68.65,65.83,64.71,63.59
14.93,15.28,15.63,19.37,23.12,15.92,8.72
89.59,87.14,84.69,76.92,69.14,75.07,81.0
52.56,26.36,0.16,0.42,0.67,32.13,63.59
14.93,20.34,25.76,19.18,12.61,19.92,27.24
46.55,45.08,43.62,54.28,64.94,67.46,69.99
37.15,32.24,27.32,23.4,19.49,15.3,11.11
3.79,4.46,5.13,7.24,9.36,11.1,12.83
29.19,26.87,24.55,23.84,23.12,33.01,42.9
33.24,31.63,30.02,26.2,22.39,22.1,21.8
13.88,28.36,42.85,45.42,47.99,43.41,38.83
9.14,9.17,9.2,10.65,12.1,10.87,9.64
24.67,24.36,24.04,24.78,25.51,22.84,20.18
2.96,3.24,3.53,4.25,4.97,4.68,4.39
3.25,3.54,3.82,4.22,4.62,4.26,3.91
27.67,29.64,31.61,31.11,30.61,26.81,23.01
9.14,11.72,14.29,17.2,20.1,15.73,11.36
2.64,3.02,3.41,4.01,4.62,5.42,6.21
20.22,21.06,21.9,21.82,21.75,22.19,22.63
29.19,31.7,34.22,37.96,41.69,41.36,41.02
19.48,21.34,23.21,25.12,27.04,21.86,16.68
31.68,32.06,32.44,30.94,29.43,27.51,25.59
63.13,63.67,64.22,64.08,63.95,51.39,38.83
90.16,89.22,88.28,86.37,84.46,80.49,76.51
65.71,66.64,67.56,58.08,48.6,45.1,41.6
41.29,45.38,49.47,49.42,49.36,44.6,39.85
69.63,70.84,72.05,76.1,80.16,81.54,82.91
36.68,37.87,39.06,37.4,35.73,32.75,29.76
40.02,40.78,41.55,41.35,41.15,41.08,41.02
82.65,58.14,33.62,33.04,32.45,53.94,75.43
27.67,28.18,28.69,27.1,25.51,29.1,32.69
57.82,60.36,62.91,63.15,63.38,58.66,53.95
15.57,15.6,15.63,19.01,22.39,21.28,20.18
38.78,36.5,34.22,33.66,33.09,29.62,26.16
73.32,72.96,72.59,70.02,67.45,67.02,66.58
96.53,96.34,96.15,96.1,96.05,96.28,96.5
67.62,74.29,80.96,84.4,87.83,79.99,72.15
58.29,57.21,56.13,55.42,54.71,52.68,50.64
56.29,49.95,43.62,43.53,43.44,46.18,48.92
52.09,43.16,34.22,32.42,30.61,32.41,34.21
84.53,81.34,78.16,79.7,81.24,85.02,88.8
93.06,92.2,91.34,91.26,91.18,87.46,83.74
89.24,88.38,87.52,78.74,69.97,72.7,75.43
87.93,83.04,78.16,71.55,64.94,71.92,78.9
52.09,49.82,47.56,45.5,43.44,40.08,36.73
94.91,94.19,93.47,95.14,96.82,95.2,93.57
96.75,94.68,92.61,93.46,94.3,95.2,96.09
92.68,92.6,92.52,93.48,94.43,94.92,95.42
49.25,49.36,49.47,48.0,46.53,49.84,53.15
69.12,70.86,72.59,74.02,75.45,73.52,71.58
57.12,55.89,54.66,54.13,53.6,49.92,46.24
92.3,92.07,91.85,92.31,92.77,91.58,90.39
45.3,42.55,39.8,36.12,32.45,31.28,30.11
78.26,81.95,85.64,83.22,80.8,78.11,75.43
