2014 SVI Single-Parent Household Data and Encoding,2015 SVI Single-Parent Household Data and Encoding,2016 SVI Single-Parent Household Data and Encoding,2017 SVI Single-Parent Household Data and Encoding,2018 SVI Single-Parent Household Data and Encoding,2019 SVI Single-Parent Household Data and Encoding,2020 SVI Single-Parent Household Data and Encoding
80.52,81.46,82.39,86.29,90.19,90.83,91.47
56.96,68.61,80.26,83.89,87.52,83.86,80.2
94.94,87.08,79.21,85.99,92.77,95.86,98.95
53.87,47.66,41.45,51.05,60.65,63.96,67.28
63.87,68.77,73.67,49.52,25.37,41.32,57.26
2.45,2.1,1.75,3.6,5.44,9.34,13.24
75.1,71.34,67.59,72.19,76.79,75.36,73.93
72.05,68.32,64.6,52.93,41.26,44.2,47.14
21.43,25.63,29.83,41.08,52.34,53.84,55.35
3.92,6.72,9.52,11.72,13.91,42.76,71.61
86.5,86.63,86.76,84.88,83.0,86.68,90.36
62.62,46.0,29.39,36.34,43.3,35.78,28.26
70.71,59.42,48.14,56.72,65.3,66.29,67.28
55.36,62.72,70.07,65.36,60.65,72.72,84.79
88.09,88.22,88.35,80.76,73.16,81.3,89.43
63.39,70.01,76.63,81.46,86.28,67.71,49.14
48.97,44.82,40.66,35.95,31.23,35.14,39.05
49.35,27.06,4.78,5.72,6.65,4.6,2.55
20.09,24.98,29.86,22.36,14.87,12.51,10.15
56.13,48.46,40.78,42.98,45.18,42.12,39.05
6.91,12.59,18.27,20.66,23.05,22.95,22.85
89.94,91.22,92.49,93.99,95.48,90.14,84.79
45.4,45.94,46.48,47.74,49.0,51.22,53.44
88.63,86.46,84.3,72.47,60.65,61.61,62.57
14.29,17.12,19.96,16.24,12.51,11.9,11.3
98.03,98.12,98.22,97.79,97.36,93.57,89.78
78.99,77.62,76.25,71.64,67.02,68.59,70.15
73.8,72.38,70.96,70.34,69.72,66.15,62.57
96.05,95.14,94.24,93.5,92.77,92.58,92.39
58.9,62.9,66.89,44.97,23.05,17.7,12.35
97.17,96.93,96.69,96.12,95.54,91.9,88.26
97.23,97.84,98.44,98.17,97.9,94.48,91.06
82.9,84.97,87.04,77.68,68.32,55.74,43.16
48.07,45.64,43.2,37.21,31.23,42.34,53.44
79.91,77.19,74.47,72.1,69.72,65.4,61.08
91.09,91.62,92.14,90.12,88.09,77.68,67.28
24.32,20.26,16.21,17.78,19.36,25.93,32.5
12.1,18.78,25.47,18.55,11.62,50.21,88.8
65.17,64.56,63.96,67.97,71.98,75.06,78.13
97.29,97.82,98.34,97.93,97.52,95.18,92.84
9.33,15.92,22.51,17.94,13.37,26.21,39.05
29.93,18.15,6.37,8.3,10.22,8.96,7.7
87.01,86.38,85.74,82.84,79.94,64.54,49.14
40.88,35.89,30.91,30.26,29.61,30.05,30.49
9.14,11.29,13.44,15.78,18.12,18.42,18.71
43.01,40.51,38.01,37.07,36.13,37.59,39.05
31.52,29.16,26.81,23.08,19.36,22.94,26.51
21.97,17.21,12.45,12.48,12.51,13.37,14.23
79.78,78.29,76.79,73.26,69.72,64.41,59.1
85.99,84.66,83.32,81.18,79.05,77.88,76.7
82.2,84.74,87.27,86.78,86.28,72.69,59.1
93.47,93.64,93.82,93.25,92.68,89.49,86.31
51.48,52.23,52.98,52.66,52.34,50.74,49.14
3.34,3.0,2.67,2.98,3.28,5.49,7.7
94.21,93.27,92.33,91.26,90.19,85.2,80.2
23.37,21.84,20.31,22.08,23.85,19.67,15.5
15.38,16.18,16.97,15.44,13.91,16.31,18.71
62.46,61.51,60.55,60.6,60.65,53.9,47.14
25.21,24.78,24.36,21.86,19.36,21.1,22.85
42.82,37.18,31.55,31.39,31.23,31.86,32.5
58.55,52.78,47.02,52.39,57.75,56.55,55.35
2.42,1.37,0.32,3.49,6.65,37.64,68.62
48.33,44.72,41.1,38.62,36.13,27.42,18.71
85.9,85.84,85.77,82.41,79.05,75.33,71.61
44.44,43.78,43.11,38.73,34.35,35.48,36.6
91.21,91.7,92.2,90.98,89.75,84.98,80.2
69.44,77.94,86.44,86.98,87.52,84.82,82.11
66.79,74.09,81.38,81.08,80.77,71.67,62.57
34.77,52.6,70.42,68.72,67.02,78.4,89.78
97.64,97.61,97.58,97.26,96.94,94.44,91.95
23.3,20.31,17.32,13.77,10.22,15.12,20.02
55.21,53.79,52.37,46.82,41.26,38.06,34.85
43.2,44.12,45.05,43.16,41.26,46.25,51.24
91.75,91.86,91.98,91.47,90.96,83.18,75.4
84.15,85.56,86.98,86.23,85.48,79.7,73.93
63.32,62.08,60.84,40.76,20.69,38.02,55.35
71.86,70.09,68.32,63.85,59.38,60.23,61.08
36.58,23.2,9.81,6.12,2.42,1.8,1.18
7.58,8.6,9.61,15.15,20.69,24.48,28.26
45.59,37.68,29.77,53.74,77.71,70.9,64.1
29.04,24.94,20.85,22.35,23.85,28.18,32.5
18.02,13.96,9.9,9.65,9.39,19.94,30.49
53.14,38.68,24.23,21.8,19.36,50.74,82.11
6.81,6.9,7.0,6.82,6.65,4.6,2.55
1.94,2.78,3.63,12.16,20.69,25.59,30.49
56.38,38.9,21.43,36.88,52.34,43.59,34.85
29.29,22.92,16.56,29.93,43.3,67.62,91.95
88.12,92.5,96.88,80.44,63.99,73.05,82.11
1.21,1.29,1.37,1.56,1.75,1.32,0.89
16.97,13.32,9.68,8.52,7.35,13.68,20.02
46.35,46.8,47.25,41.69,36.13,41.64,47.14
8.5,33.42,58.33,47.23,36.13,21.64,7.16
31.55,27.46,23.37,22.76,22.16,27.33,32.5
29.99,26.47,22.95,18.43,13.91,23.2,32.5
4.87,3.71,2.55,2.92,3.28,4.08,4.87
65.97,64.34,62.72,62.53,62.34,61.71,61.08
29.23,34.77,40.31,37.33,34.35,31.31,28.26
51.67,46.44,41.2,36.83,32.47,39.8,47.14
5.89,3.09,0.29,0.46,0.64,3.06,5.47
