FIPS,2014 EPL_NOHSDP,2015 EPL_NOHSDP,2016 EPL_NOHSDP,2017 EPL_NOHSDP,2018 EPL_NOHSDP,2019 EPL_NOHSDP,2020 EPL_NOHSDP
02100,0.96,1.24,1.53,0.99,0.45,0.3,0.16
02105,25.82,25.68,25.53,24.29,23.05,16.33,9.61
02110,2.45,1.88,1.31,1.23,1.15,1.3,1.46
02122,6.69,9.06,11.43,12.45,13.47,15.16,16.84
02130,8.37,11.94,15.5,14.96,14.42,12.28,10.15
02150,18.78,21.78,24.77,30.18,35.59,39.84,44.08
02158,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02164,56.19,55.54,54.89,59.03,63.16,58.68,54.2
02170,9.55,11.26,12.96,14.88,16.81,14.5,12.19
02180,58.2,59.73,61.25,65.57,69.88,68.24,66.61
02185,45.46,43.7,41.93,39.1,36.26,43.53,50.8
02188,79.59,81.6,83.6,80.76,77.91,75.67,73.42
02195,1.27,7.11,12.96,25.02,37.09,42.12,47.14
02198,18.31,22.35,26.39,29.74,33.08,31.88,30.68
02220,12.19,11.98,11.78,9.44,7.1,5.74,4.39
02230,0.22,0.34,0.45,4.39,8.34,30.46,52.58
02240,12.61,18.69,24.77,28.92,33.08,32.54,31.99
02275,30.79,37.41,44.03,45.58,47.12,50.3,53.47
02282,13.44,8.6,3.76,12.35,20.95,14.24,7.54
02290,71.89,71.19,70.49,66.19,61.89,58.74,55.6
04001,89.91,88.19,86.47,86.3,86.12,85.18,84.25
04003,50.62,52.0,53.39,53.65,53.9,52.35,50.8
04005,40.62,39.44,38.27,38.1,37.92,35.36,32.81
04007,63.55,63.72,63.9,64.06,64.22,62.04,59.87
04009,55.87,57.66,59.44,60.92,62.4,66.11,69.83
04011,56.19,50.8,45.4,43.86,42.31,56.37,70.43
04012,87.01,90.28,93.54,92.68,91.82,89.8,87.78
04013,48.55,50.22,51.89,52.29,52.69,52.82,52.96
04015,62.21,64.01,65.81,65.02,64.22,64.43,64.64
04017,73.64,74.58,75.52,75.22,74.91,75.55,76.19
04019,42.5,44.57,46.64,46.88,47.12,47.86,48.6
04021,57.27,59.26,61.25,62.54,63.83,62.38,60.92
04023,94.33,94.32,94.3,94.32,94.33,94.0,93.67
04025,25.82,27.1,28.37,30.23,32.09,29.48,26.86
04027,95.8,96.45,97.1,97.28,97.45,97.18,96.91
05001,64.92,68.56,72.21,73.22,74.24,70.43,66.61
05003,57.62,61.72,65.81,71.26,76.7,73.56,70.43
05005,46.29,48.16,50.02,48.79,47.56,48.76,49.97
05007,49.86,49.94,50.02,49.27,48.52,46.3,44.08
05009,57.27,59.08,60.9,57.92,54.95,54.58,54.2
05011,79.21,80.07,80.93,79.29,77.65,77.96,78.26
05013,70.42,69.84,69.25,72.27,75.29,75.26,75.24
05015,64.28,65.32,66.35,63.82,61.29,63.19,65.09
05017,87.01,83.62,80.23,81.39,82.55,87.78,93.0
05019,54.98,54.36,53.74,47.31,40.88,45.09,49.3
05021,86.09,84.84,83.6,83.08,82.55,79.97,77.4
05023,58.87,63.85,68.83,67.99,67.14,65.26,63.37
05025,57.27,56.65,56.03,50.38,44.73,44.85,44.97
05027,61.48,60.81,60.14,62.94,65.74,64.02,62.29
05029,56.19,58.54,60.9,60.84,60.78,62.08,63.37
05031,49.44,47.06,44.67,43.16,41.64,43.61,45.58
05033,59.28,59.55,59.82,62.27,64.72,69.07,73.42
05035,75.52,75.01,74.5,75.36,76.22,76.42,76.61
05037,82.04,79.92,77.81,76.36,74.91,79.82,84.72
05039,62.21,65.25,68.29,70.08,71.86,66.14,60.41
05041,84.34,88.18,92.01,90.06,88.12,88.4,88.67
05043,65.93,70.38,74.82,69.99,65.17,64.02,62.86
05045,27.22,24.65,22.09,23.11,24.13,24.3,24.47
05047,64.92,70.68,76.44,75.98,75.52,70.76,66.01
05049,59.28,62.55,65.81,66.67,67.53,70.67,73.81
05051,46.9,44.42,41.93,44.11,46.29,45.93,45.58
05053,53.07,41.53,29.99,26.52,23.05,31.08,39.12
05055,62.62,61.22,59.82,56.6,53.39,51.0,48.6
05057,75.8,80.37,84.94,83.03,81.12,78.18,75.24
05059,59.85,58.34,56.83,60.33,63.83,61.2,58.56
05061,84.75,83.65,82.55,78.57,74.59,70.6,66.61
05063,69.82,66.43,63.04,62.17,61.29,64.88,68.46
05065,72.68,69.24,65.81,65.49,65.17,73.99,82.81
05067,87.01,88.92,90.83,89.42,88.0,83.29,78.58
05069,60.24,62.07,63.9,61.97,60.04,59.6,59.17
05071,82.49,83.26,84.02,85.31,86.6,88.04,89.47
05073,84.34,82.16,79.97,79.24,78.51,84.93,91.34
05075,73.13,73.97,74.82,68.99,63.16,69.88,76.61
05077,98.09,98.1,98.12,97.56,97.01,95.01,93.0
05079,91.66,87.63,83.6,81.8,80.01,85.32,90.64
05081,56.19,56.32,56.45,52.0,47.56,45.06,42.55
05083,69.82,70.33,70.84,68.01,65.17,64.02,62.86
05085,44.95,44.49,44.03,44.0,43.97,42.64,41.31
05087,87.77,83.34,78.92,82.34,85.77,79.6,73.42
05089,58.87,57.66,56.45,55.98,55.52,60.76,66.01
05091,58.87,58.9,58.93,59.49,60.04,63.93,67.82
05093,81.63,80.28,78.92,80.74,82.55,82.49,82.43
05095,89.56,88.02,86.47,89.28,92.1,91.86,91.63
05097,71.31,76.31,81.31,85.56,89.81,84.5,79.19
05099,69.82,69.88,69.95,63.02,56.1,50.54,44.97
05101,74.05,76.48,78.92,77.22,75.52,71.06,66.61
05103,54.25,54.86,55.46,58.93,62.4,63.92,65.44
05105,64.92,69.1,73.29,73.02,72.75,59.58,46.4
05107,91.95,91.64,91.34,90.29,89.24,86.62,83.99
05109,76.19,75.96,75.74,71.17,66.6,68.9,71.2
05111,90.67,87.8,84.94,83.94,82.94,85.04,87.14
05113,55.43,59.66,63.9,65.72,67.53,68.98,70.43
05115,66.67,67.18,67.69,67.14,66.6,69.22,71.83
05117,79.59,76.13,72.68,74.8,76.92,72.07,67.22
05119,26.55,27.89,29.23,30.18,31.14,30.91,30.68
05121,71.54,70.18,68.83,72.06,75.29,74.22,73.14
05123,85.8,86.48,87.17,85.06,82.94,83.83,84.72
05125,33.81,34.48,35.15,33.15,31.14,30.91,30.68
05127,89.91,90.62,91.34,89.67,88.0,88.97,89.94
05129,79.59,71.14,62.69,65.37,68.04,77.46,86.89
05131,68.29,70.25,72.21,72.86,73.51,74.07,74.63
05133,98.25,98.1,97.96,96.88,95.8,95.82,95.83
05135,71.89,70.57,69.25,70.56,71.86,74.63,77.4
05137,77.49,84.34,91.18,88.65,86.12,88.28,90.45
05139,65.93,66.36,66.79,66.7,66.6,65.62,64.64
05141,72.68,68.29,63.9,62.6,61.29,66.79,72.28
05143,65.93,65.12,64.31,65.03,65.74,67.4,69.06
05145,66.67,66.03,65.39,64.61,63.83,65.65,67.47
05147,96.88,94.98,93.09,88.92,84.75,82.84,80.94
05149,91.95,89.68,87.42,85.9,84.37,88.56,92.74
06001,48.23,48.87,49.51,49.38,49.25,49.61,49.97
06003,16.11,19.1,22.09,32.42,42.76,23.49,4.23
06005,36.71,39.64,42.57,37.33,32.09,31.7,31.32
06007,39.48,41.02,42.57,41.26,39.96,41.7,43.44
06009,9.55,18.23,26.9,29.02,31.14,37.29,43.44
06011,97.84,98.21,98.57,98.52,98.47,98.12,97.77
06013,33.21,34.99,36.77,38.06,39.35,40.33,41.31
06015,69.82,71.56,73.29,77.2,81.12,85.43,89.75
