FIPS,2014 EPL_POV,2015 EPL_POV,2016 EPL_POV,2017 EPL_POV,2018 EPL_POV,2019 EPL_POV,2020 EPL_POV
05067,92.1,92.86,93.63,90.9,88.18,89.52,90.87
05069,88.32,89.7,91.09,89.58,88.06,86.82,85.58
05071,78.0,79.31,80.61,83.44,86.27,85.93,85.58
05073,91.24,91.92,92.61,89.14,85.67,90.32,94.97
05075,86.15,86.63,87.11,78.12,69.14,72.96,76.77
05077,96.12,96.22,96.31,94.81,93.31,94.58,95.86
05079,92.39,89.44,86.5,79.86,73.22,73.45,73.68
05081,52.09,62.34,72.59,64.67,56.75,58.5,60.25
05083,56.29,63.36,70.42,76.47,82.52,78.97,75.43
05085,31.14,29.23,27.32,29.88,32.45,32.22,31.99
05087,77.49,71.54,65.58,64.76,63.95,72.32,80.68
05089,66.7,70.74,74.79,77.8,80.8,77.86,74.92
05091,73.32,75.36,77.4,80.1,82.8,81.52,80.24
05093,92.39,91.74,91.09,92.02,92.96,89.54,86.12
05095,96.37,95.88,95.38,95.52,95.67,92.34,89.02
05097,75.14,72.29,69.44,71.81,74.17,76.17,78.17
05099,95.64,96.21,96.78,96.04,95.29,82.78,70.27
05101,75.14,78.26,81.38,63.6,45.83,43.04,40.26
05103,80.36,84.67,88.98,89.56,90.13,91.04,91.95
05105,33.24,48.44,63.64,64.29,64.94,66.89,68.84
05107,98.28,98.17,98.06,98.16,98.25,97.44,96.63
05109,87.68,77.62,67.56,65.07,62.58,68.58,74.57
05111,88.98,85.93,82.87,83.66,84.46,85.4,86.35
05113,80.83,85.66,90.48,90.76,91.05,90.37,89.69
05115,67.62,70.55,73.48,73.1,72.71,74.4,76.1
05117,74.18,74.24,74.31,65.17,56.02,53.33,50.64
05119,54.98,59.88,64.79,64.86,64.94,63.32,61.71
05121,79.97,76.72,73.48,72.63,71.78,80.4,89.02
05123,93.86,91.63,89.4,91.77,94.14,94.88,95.61
05125,8.88,8.39,7.9,9.19,10.48,12.91,15.34
05127,70.23,74.63,79.02,82.21,85.41,82.16,78.9
05129,85.35,81.76,78.16,80.34,82.52,88.28,94.05
05131,82.65,82.89,83.13,81.64,80.16,76.16,72.15
05133,83.09,83.52,83.95,83.06,82.17,80.54,78.9
05135,85.61,84.37,83.13,83.54,83.95,86.04,88.13
05137,92.68,89.9,87.11,86.77,86.43,90.54,94.65
05139,78.26,78.21,78.16,78.68,79.2,74.34,69.48
05141,91.91,79.74,67.56,70.76,73.95,79.43,84.91
05143,76.31,73.37,70.42,67.18,63.95,63.54,63.14
05145,62.4,62.65,62.91,63.92,64.94,68.26,71.58
05147,91.53,89.81,88.09,90.0,91.91,90.61,89.31
05149,72.62,67.16,61.7,61.01,60.32,72.74,85.17
06001,29.19,27.74,26.3,24.34,22.39,15.92,9.45
06003,43.27,56.59,69.91,74.03,78.15,54.13,30.11
06005,29.83,25.86,21.9,19.32,16.75,14.44,12.13
06007,78.89,79.57,80.26,79.73,79.2,75.87,72.53
06009,24.67,27.66,30.66,30.04,29.43,30.71,31.99
06011,39.29,37.67,36.04,39.42,42.8,45.27,47.74
06013,16.36,15.99,15.63,14.52,13.41,10.65,7.89
06015,82.39,82.09,81.79,84.11,86.43,76.94,67.44
06017,14.29,14.06,13.82,13.22,12.61,10.25,7.89
06019,93.35,93.35,93.35,91.74,90.13,86.76,83.39
06021,73.32,74.88,76.44,75.2,73.95,66.64,59.33
06023,76.66,78.03,79.4,79.78,80.16,79.44,78.71
06025,85.61,86.85,88.09,89.28,90.48,90.9,91.31
06027,34.51,26.86,19.2,19.65,20.1,17.88,15.66
06029,85.61,85.85,86.09,85.56,85.03,85.58,86.12
06031,83.57,82.48,81.38,81.46,81.53,75.44,69.35
06033,87.93,88.66,89.4,85.78,82.17,77.35,72.53
06035,56.29,54.66,53.04,47.92,42.8,42.36,41.92
06037,64.31,63.98,63.64,60.98,58.31,53.99,49.68
06039,85.07,83.97,82.87,82.2,81.53,79.85,78.17
06041,8.15,7.44,6.72,6.72,6.72,5.04,3.37
06043,51.19,52.53,53.87,49.08,44.3,48.33,52.36
06045,74.18,75.09,75.99,74.35,72.71,68.38,64.04
06047,90.58,89.43,88.28,87.6,86.91,84.24,81.57
06049,77.27,67.59,57.91,60.24,62.58,61.28,59.99
06051,0.57,4.89,9.2,15.18,21.15,20.18,19.22
06053,57.12,54.73,52.34,48.73,45.13,44.02,42.9
06055,14.29,11.74,9.2,8.79,8.38,7.44,6.49
06057,26.11,26.72,27.32,27.18,27.04,21.49,15.95
06059,28.33,28.82,29.32,28.68,28.03,22.86,17.7
06061,8.47,8.6,8.72,8.4,8.09,5.81,3.53
06063,48.39,40.0,31.61,30.52,29.43,29.2,28.96
06065,54.98,55.17,55.36,52.36,49.36,44.81,40.26
06067,62.4,63.31,64.22,60.48,56.75,50.54,44.33
06069,24.67,21.94,19.2,16.56,13.92,16.11,18.3
06071,69.12,70.03,70.93,69.0,67.07,61.91,56.75
06073,40.69,39.88,39.06,36.68,34.3,29.07,23.84
06075,31.68,30.5,29.32,26.8,24.27,18.85,13.43
06077,70.23,66.94,63.64,60.51,57.39,54.4,51.4
06079,41.29,40.86,40.43,40.02,39.62,29.42,19.22
06081,4.62,5.07,5.51,5.24,4.97,3.76,2.55
06083,52.98,52.03,51.07,50.57,50.06,45.54,41.02
06085,12.45,11.94,11.43,9.62,7.8,5.86,3.91
06087,44.54,45.44,46.35,46.44,46.53,36.34,26.16
06089,61.67,61.68,61.7,63.77,65.83,58.61,51.4
06091,51.19,36.94,22.7,16.03,9.36,17.24,25.11
06093,83.57,83.1,82.62,79.43,76.24,73.11,69.99
06095,30.63,30.64,30.66,25.9,21.15,16.4,11.65
06097,25.63,23.76,21.9,21.24,20.57,15.41,10.25
06099,74.72,70.38,66.03,62.46,58.89,56.42,53.95
06101,54.25,57.98,61.7,60.0,58.31,53.25,48.19
06103,65.71,73.33,80.96,82.31,83.66,81.76,79.85
06105,66.19,70.88,75.58,76.68,77.77,82.62,87.46
06107,93.35,94.21,95.07,93.84,92.61,91.58,90.55
06109,40.69,40.56,40.43,40.02,39.62,29.9,20.18
06111,18.18,18.15,18.12,17.23,16.34,15.5,14.67
06113,73.32,72.68,72.05,74.64,77.23,68.74,60.25
06115,81.6,80.14,78.67,74.56,70.45,63.41,56.37
08001,37.15,34.8,32.44,30.24,28.03,25.16,22.28
08003,94.33,95.67,97.01,93.06,89.11,89.83,90.55
08005,22.0,20.36,18.72,15.88,13.03,10.36,7.7
08007,18.18,20.04,21.9,22.51,23.12,21.17,19.22
08009,51.19,57.99,64.79,70.12,75.45,76.24,77.02
08011,64.31,77.4,90.48,88.88,87.29,89.97,92.65
08013,40.02,37.71,35.4,34.85,34.3,24.82,15.34
08014,2.07,1.96,1.85,1.56,1.27,0.94,0.6
08015,7.67,10.22,12.77,16.13,19.49,25.74,31.99
08017,7.67,15.18,22.7,25.36,28.03,32.07,36.12
08019,9.96,7.46,4.97,3.47,1.97,3.18,4.39
08021,65.71,74.29,82.87,84.57,86.27,88.1,89.94
