FIPS,2014 EPL_NOVEH,2015 EPL_NOVEH,2016 EPL_NOVEH,2017 EPL_NOVEH,2018 EPL_NOVEH,2019 EPL_NOVEH,2020 EPL_NOVEH
05083,60.17,54.47,48.77,40.39,32.0,35.67,39.34
05085,32.73,36.3,39.86,32.03,24.2,27.38,30.55
05087,20.73,19.9,19.07,31.71,44.35,36.72,29.09
05089,31.36,39.35,47.34,53.88,60.43,59.28,58.12
05091,85.23,78.53,71.82,74.88,77.94,80.33,82.72
05093,87.71,85.74,83.76,86.8,89.84,89.0,88.16
05095,98.82,98.22,97.61,97.14,96.66,96.45,96.24
05097,19.33,34.83,50.33,49.4,48.46,29.37,10.28
05099,91.09,85.9,80.71,68.48,56.26,47.0,37.75
05101,20.73,14.72,8.72,14.93,21.14,19.29,17.44
05103,89.78,88.49,87.2,88.3,89.4,91.76,94.11
05105,32.73,28.84,24.96,39.68,54.41,59.98,65.56
05107,97.42,97.92,98.41,98.65,98.89,98.8,98.7
05109,32.73,37.3,41.87,39.51,37.15,34.8,32.46
05111,78.83,77.72,76.6,72.45,68.29,69.52,70.75
05113,29.74,36.66,43.58,52.78,61.99,49.87,37.75
05115,38.2,40.03,41.87,44.32,46.77,43.9,41.02
05117,52.98,55.5,58.01,61.13,64.25,40.14,16.04
05119,67.53,69.01,70.49,71.36,72.24,73.06,73.87
05121,78.83,71.54,64.25,58.6,52.94,43.53,34.12
05123,93.82,93.96,94.11,95.51,96.91,97.34,97.77
05125,17.13,16.68,16.24,18.69,21.14,25.85,30.55
05127,65.97,75.1,84.24,83.86,83.48,83.1,82.72
05129,57.15,51.26,45.37,58.24,71.12,73.23,75.33
05131,68.64,71.69,74.75,69.5,64.25,64.18,64.1
05133,40.18,35.74,31.3,28.46,25.63,32.48,39.34
05135,55.78,48.82,41.87,33.04,24.2,38.92,53.63
05137,49.32,45.6,41.87,33.75,25.63,36.64,47.64
05139,52.98,52.46,51.93,42.87,33.81,28.89,23.97
05141,34.8,40.08,45.37,48.4,51.42,55.42,59.42
05143,49.32,49.82,50.33,52.37,54.41,51.02,47.64
05145,40.18,40.02,39.86,48.06,56.26,60.18,64.1
05147,97.71,96.96,96.21,94.62,93.03,91.57,90.1
05149,42.38,38.56,34.73,34.27,33.81,33.14,32.46
06001,90.29,90.1,89.91,89.42,88.92,88.54,88.16
06003,2.32,11.35,20.38,37.4,54.41,34.64,14.86
06005,15.79,16.02,16.24,31.5,46.77,57.68,68.59
06007,67.53,67.29,67.05,69.08,71.12,68.34,65.56
06009,19.33,19.2,19.07,12.31,5.54,3.91,2.29
06011,42.38,30.72,19.07,31.71,44.35,37.45,30.55
06013,49.32,49.82,50.33,48.55,46.77,46.41,46.05
06015,81.12,85.68,90.23,89.58,88.92,86.47,84.02
06017,24.99,27.19,29.39,25.93,22.48,25.79,29.09
06019,85.86,85.29,84.72,83.78,82.84,81.03,79.22
06021,69.79,68.93,68.07,50.94,33.81,29.78,25.75
06023,71.06,72.47,73.89,74.44,74.98,73.95,72.92
06025,82.84,80.12,77.4,75.39,73.38,72.51,71.64
06027,82.84,81.28,79.72,72.68,65.65,58.1,50.54
06029,67.53,67.29,67.05,66.35,65.65,65.6,65.56
06031,64.34,66.2,68.07,64.25,60.43,52.32,44.21
06033,62.97,68.86,74.75,70.88,67.02,54.92,42.81
06035,62.97,61.41,59.85,56.4,52.94,46.14,39.34
06037,88.38,87.79,87.2,86.46,85.71,85.54,85.36
06039,61.76,61.65,61.54,57.98,54.41,42.48,30.55
06041,36.52,38.19,39.86,37.79,35.72,32.4,29.09
06043,10.73,8.89,7.04,9.06,11.08,25.21,39.34
06045,75.17,74.53,73.89,66.47,59.06,64.9,70.75
06047,71.89,72.89,73.89,73.06,72.24,71.94,71.64
06049,44.51,30.37,16.24,18.69,21.14,18.59,16.04
06051,19.33,19.86,20.38,13.34,6.3,9.96,13.62
06053,38.2,34.75,31.3,31.65,32.0,30.54,29.09
06055,32.73,33.73,34.73,35.94,37.15,39.08,41.02
06057,23.62,25.62,27.63,25.06,22.48,20.52,18.56
06059,29.74,29.56,29.39,28.18,26.97,29.72,32.46
06061,15.79,16.67,17.54,18.07,18.59,19.23,19.86
06063,62.97,61.41,59.85,54.16,48.46,47.26,46.05
06065,34.8,33.05,31.3,28.46,25.63,24.8,23.97
06067,75.17,74.01,72.84,70.56,68.29,64.57,60.85
06069,9.36,7.17,4.97,5.0,5.03,6.72,8.4
06071,47.63,46.5,45.37,42.14,38.9,38.32,37.75
06073,52.98,50.88,48.77,47.77,46.77,47.2,47.64
06075,99.46,99.48,99.49,99.5,99.52,99.5,99.49
06077,67.53,66.7,65.87,63.15,60.43,55.48,50.54
06079,23.62,27.46,31.3,28.46,25.63,22.74,19.86
06081,45.88,42.87,39.86,42.1,44.35,44.28,44.21
06083,64.34,62.1,59.85,54.16,48.46,51.04,53.63
06085,34.8,35.53,36.26,37.58,38.9,42.48,46.05
06087,44.51,47.42,50.33,48.55,46.77,45.49,44.21
06089,67.53,64.54,61.54,63.6,65.65,63.25,60.85
06091,1.78,3.64,5.51,24.93,44.35,38.4,32.46
06093,77.17,76.52,75.87,72.08,68.29,63.86,59.42
