FIPS,2014 EPL_CROWD,2015 EPL_CROWD,2016 EPL_CROWD,2017 EPL_CROWD,2018 EPL_CROWD,2019 EPL_CROWD,2020 EPL_CROWD
05093,79.59,73.48,67.37,78.5,89.62,88.65,87.68
05095,49.32,62.42,75.52,60.04,44.57,70.06,95.54
05097,55.68,50.14,44.6,51.3,58.01,44.92,31.83
05099,59.34,73.8,88.25,91.04,93.82,83.1,72.37
05101,62.69,68.2,73.7,62.75,51.8,30.28,8.75
05103,42.47,62.1,81.73,78.04,74.34,81.01,87.68
05105,91.56,84.98,78.41,82.46,86.5,89.46,92.43
05107,79.37,78.79,78.22,45.22,12.23,24.12,36.0
05109,45.37,43.14,40.91,56.7,72.49,74.01,75.53
05111,91.95,90.68,89.4,90.48,91.56,83.54,75.53
05113,88.0,90.61,93.22,92.23,91.24,88.06,84.88
05115,78.13,76.61,75.1,65.04,54.98,47.6,40.23
05117,68.29,71.28,74.28,76.16,78.03,64.18,50.32
05119,37.76,41.55,45.34,46.76,48.17,52.36,56.56
05121,42.5,55.56,68.61,70.55,72.49,72.43,72.37
05123,78.96,70.25,61.54,67.02,72.49,72.43,72.37
05125,35.63,46.0,56.38,52.28,48.17,42.08,36.0
05127,88.95,87.74,86.53,83.03,79.53,83.6,87.68
05129,47.5,50.02,52.53,34.02,15.5,9.69,3.88
05131,69.4,73.36,77.33,80.4,83.48,81.81,80.14
05133,92.74,94.27,95.8,96.56,97.33,97.24,97.14
05135,80.71,84.5,88.28,83.9,79.53,70.97,62.41
05137,81.28,50.1,18.91,18.9,18.88,44.54,70.21
05139,88.89,91.45,94.01,93.18,92.36,92.4,92.43
05141,74.31,64.66,55.01,59.07,63.13,63.98,64.83
05143,90.64,88.64,86.63,84.3,81.98,85.2,88.42
05145,66.86,61.3,55.75,46.39,37.03,40.33,43.63
05147,61.76,67.38,73.0,41.4,9.81,22.9,36.0
05149,92.26,92.85,93.44,93.79,94.14,93.9,93.67
06001,95.03,95.78,96.53,96.94,97.36,97.34,97.33
06003,58.77,51.9,45.02,52.76,60.49,72.99,85.49
06005,28.3,38.26,48.23,60.36,72.49,71.35,70.21
06007,78.1,77.5,76.89,78.21,79.53,81.32,83.1
06009,47.95,50.5,53.04,52.42,51.8,51.06,50.32
06011,97.45,97.6,97.74,97.08,96.43,95.78,95.13
06013,90.74,91.02,91.31,91.44,91.56,92.0,92.43
06015,88.51,88.3,88.09,89.66,91.24,89.18,87.11
06017,58.55,57.52,56.48,57.24,58.01,64.11,70.21
06019,98.76,98.62,98.47,98.5,98.54,98.5,98.47
06021,91.18,92.74,94.3,90.7,87.11,86.73,86.35
06023,85.45,85.77,86.09,86.3,86.5,87.09,87.68
06025,98.54,98.66,98.79,98.86,98.92,98.79,98.66
06027,61.35,51.58,41.8,44.98,48.17,49.24,50.32
06029,98.34,98.3,98.25,98.4,98.54,98.4,98.25
06031,98.5,98.36,98.22,98.06,97.9,97.85,97.8
06033,77.49,77.42,77.36,78.44,79.53,82.51,85.49
06035,81.15,61.62,42.09,34.06,26.04,36.73,47.42
06037,99.3,99.24,99.17,99.17,99.17,99.24,99.3
06039,98.79,98.58,98.38,98.36,98.34,98.77,99.2
06041,82.01,83.44,84.88,86.58,88.28,89.27,90.26
06043,38.55,52.75,66.95,62.48,58.01,61.42,64.83
06045,93.95,93.79,93.63,93.2,92.77,93.4,94.02
06047,98.38,98.25,98.12,98.39,98.66,98.28,97.9
06049,34.86,41.45,48.04,65.01,81.98,81.06,80.14
06051,87.33,71.69,56.06,42.85,29.64,59.03,88.42
06053,99.36,99.41,99.46,99.52,99.59,99.67,99.75
06055,95.22,94.87,94.52,94.99,95.45,95.29,95.13
06057,59.92,55.14,50.37,51.08,51.8,47.72,43.63
06059,98.44,98.25,98.06,98.18,98.31,98.18,98.06
06061,66.63,62.73,58.83,56.91,54.98,52.65,50.32
06063,40.85,40.05,39.26,25.74,12.23,38.53,64.83
06065,96.98,96.93,96.88,96.66,96.43,96.59,96.75
06067,92.65,92.26,91.88,91.93,91.98,92.74,93.51
06069,97.71,97.78,97.84,97.9,97.96,97.55,97.14
06071,98.12,98.06,97.99,98.16,98.34,98.2,98.06
06073,95.1,95.49,95.89,95.96,96.02,96.26,96.5
06075,95.48,95.49,95.51,95.54,95.57,95.96,96.34
06077,97.2,96.99,96.78,96.86,96.94,97.14,97.33
06079,83.44,83.84,84.24,82.57,80.9,79.83,78.77
06081,96.78,97.02,97.26,97.36,97.45,97.26,97.07
06083,98.6,98.66,98.73,98.86,98.98,98.96,98.95
06085,97.29,97.45,97.61,97.69,97.77,97.65,97.52
06087,95.07,95.68,96.28,96.61,96.94,96.72,96.5
06089,63.07,67.49,71.92,76.41,80.9,79.83,78.77
06091,0.0,0.83,1.66,1.69,1.72,10.84,19.96
06093,85.99,81.93,77.87,78.7,79.53,80.33,81.13
06095,91.28,91.18,91.09,92.02,92.96,93.62,94.27
06097,92.71,92.98,93.25,93.1,92.96,92.7,92.43
06099,96.43,96.43,96.43,96.22,96.02,96.38,96.75
06101,96.72,96.53,96.34,95.96,95.57,95.73,95.89
06103,94.27,94.04,93.82,93.39,92.96,90.69,88.42
06105,90.32,87.01,83.7,76.17,68.64,79.45,90.26
06107,98.95,98.8,98.66,98.71,98.76,98.79,98.82
06109,73.58,76.24,78.89,78.46,78.03,71.43,64.83
06111,96.24,96.45,96.66,96.29,95.92,95.81,95.7
06113,93.25,93.22,93.19,93.5,93.82,94.35,94.88
06115,97.52,97.36,97.2,97.07,96.94,93.9,90.87
08001,92.77,93.42,94.08,93.8,93.51,92.68,91.85
08003,72.94,81.39,89.84,84.68,79.53,86.52,93.51
08005,78.06,77.85,77.65,75.99,74.34,74.94,75.53
08007,79.53,84.04,88.54,88.2,87.87,84.98,82.08
08009,19.68,26.02,32.35,32.97,33.59,48.0,62.41
08011,58.83,66.33,73.83,62.82,51.8,30.28,8.75
08013,51.48,50.76,50.05,45.3,40.56,36.2,31.83
08014,42.12,44.76,47.41,45.99,44.57,34.17,23.77
08015,23.15,20.54,17.92,16.71,15.5,45.51,75.53
08017,4.84,5.82,6.81,8.31,9.81,5.91,2.01
08019,18.62,31.34,44.06,38.82,33.59,34.8,36.0
08021,86.31,86.5,86.69,86.1,85.51,88.68,91.85
08023,36.9,32.69,28.49,49.57,70.65,82.64,94.62
08025,50.49,68.9,87.3,80.82,74.34,63.89,53.44
08027,84.72,84.56,84.4,76.52,68.64,65.53,62.41
08029,77.14,79.61,82.08,71.28,60.49,48.24,36.0
08031,83.22,82.36,81.5,80.52,79.53,79.15,78.77
08033,61.99,72.59,83.19,63.88,44.57,22.28,0.0
08035,10.82,13.34,15.85,17.36,18.88,23.24,27.59
08037,85.2,84.85,84.5,86.8,89.11,88.76,88.42
08039,62.43,57.88,53.33,41.48,29.64,23.22,16.8
08041,67.88,67.83,67.78,70.13,72.49,72.43,72.37
08043,19.83,28.73,37.63,31.84,26.04,39.74,53.44
08045,91.72,93.22,94.72,94.75,94.78,89.4,84.02
08047,33.11,32.98,32.86,21.34,9.81,11.94,14.07
08049,77.05,80.09,83.13,69.06,54.98,58.7,62.41
08051,79.82,81.74,83.67,67.74,51.8,58.32,64.83
08053,52.15,70.91,89.68,79.16,68.64,44.3,19.96
08055,64.31,53.76,43.2,53.16,63.13,32.57,2.01
08057,91.88,45.94,0.0,3.9,7.8,17.7,27.59
08059,31.23,29.75,28.27,28.96,29.64,32.82,36.0
08061,53.84,52.08,50.33,26.31,2.29,1.14,0.0
08063,30.02,19.1,8.18,7.99,7.8,17.7,27.59
08065,78.67,82.52,86.37,76.3,66.22,36.57,6.91
08067,48.74,49.87,51.0,57.06,63.13,61.36,59.58
08069,37.19,38.75,40.31,34.98,29.64,26.7,23.77
08071,29.19,22.9,16.62,34.21,51.8,35.88,19.96
08073,42.09,23.38,4.68,5.18,5.67,4.36,3.06
08075,71.28,42.77,14.26,43.38,72.49,78.26,84.02
08077,54.19,54.21,54.22,57.36,60.49,61.45,62.41
08079,0.0,2.05,4.11,4.2,4.3,2.15,0.0
08081,40.75,45.38,50.02,61.26,72.49,66.04,59.58
08083,82.39,78.2,74.02,75.12,76.22,56.11,36.0
08085,64.25,65.31,66.38,68.51,70.65,51.24,31.83
08087,93.92,93.99,94.05,91.58,89.11,91.86,94.62
08089,80.39,75.82,71.25,50.45,29.64,34.94,40.23
08091,28.88,23.42,17.96,23.8,29.64,24.8,19.96
08093,11.27,19.65,28.02,20.12,12.23,14.52,16.8
08095,93.57,94.49,95.42,91.85,88.28,87.7,87.11
08097,48.65,49.19,49.73,39.68,29.64,49.92,70.21
08099,71.38,67.86,64.34,75.42,86.5,86.42,86.35
08101,42.38,49.08,55.78,58.14,60.49,63.96,67.44
08103,87.81,84.96,82.11,79.16,76.22,79.66,83.1
08105,85.51,88.68,91.85,91.39,90.93,89.3,87.68
08107,30.69,44.24,57.78,64.22,70.65,62.04,53.44
08109,85.32,88.33,91.34,92.42,93.51,88.3,83.1
08111,46.83,32.28,17.73,39.11,60.49,62.66,64.83
08113,83.79,83.48,83.16,79.69,76.22,70.52,64.83
08115,9.68,44.27,78.86,76.6,74.34,63.89,53.44
08117,64.34,78.03,91.72,93.32,94.91,95.3,95.7
08119,30.5,44.16,57.82,51.2,44.57,54.7,64.83
08121,30.72,44.47,58.23,58.12,58.01,67.6,77.18
08123,83.73,79.72,75.71,74.1,72.49,75.63,78.77
08125,17.03,46.75,76.47,83.04,89.62,85.85,82.08
09001,69.28,69.01,68.74,69.69,70.65,70.43,70.21
09003,52.91,51.4,49.89,45.22,40.56,42.1,43.63
09005,13.02,14.32,15.63,15.57,15.5,17.73,19.96
09007,11.02,12.15,13.28,14.39,15.5,13.3,11.11
09009,53.1,48.7,44.29,46.23,48.17,50.8,53.44
09011,32.89,31.24,29.58,27.81,26.04,24.9,23.77
09013,16.4,15.74,15.09,13.66,12.23,18.0,23.77
09015,42.44,43.65,44.86,39.22,33.59,25.2,16.8
10001,38.65,46.63,54.6,53.2,51.8,49.61,47.42
10003,41.04,37.3,33.56,29.8,26.04,26.82,27.59
10005,51.93,54.04,56.16,55.57,54.98,57.28,59.58
11001,80.74,82.58,84.43,84.5,84.56,84.29,84.02
12001,51.26,47.9,44.54,44.56,44.57,49.0,53.44
12003,85.16,81.28,77.4,78.46,79.53,68.04,56.56
12005,48.9,50.22,51.54,51.67,51.8,61.0,70.21
12007,70.93,61.13,51.32,54.66,58.01,54.16,50.32
12009,31.01,31.82,32.63,33.11,33.59,34.8,36.0
12011,85.74,86.17,86.6,87.44,88.28,87.98,87.68
12013,94.94,87.87,80.8,75.72,70.65,60.48,50.32
12015,19.2,23.58,27.95,34.26,40.56,36.2,31.83
12017,34.73,41.52,48.3,40.94,33.59,23.83,14.07
12019,45.91,51.99,58.07,54.94,51.8,47.72,43.63
12021,86.98,86.92,86.85,88.64,90.42,87.65,84.88
12023,74.72,79.12,83.51,82.2,80.9,78.22,75.53
12027,96.47,96.7,96.94,95.38,93.82,92.04,90.26
12029,58.9,71.52,84.15,88.06,91.98,91.92,91.85
12031,51.07,53.89,56.7,59.92,63.13,59.84,56.56
12033,30.88,25.66,20.44,23.24,26.04,33.14,40.23
12035,37.44,40.24,43.04,34.54,26.04,18.58,11.11
12037,75.61,80.12,84.62,78.55,72.49,74.84,77.18
12039,95.42,93.58,91.75,86.86,81.98,78.76,75.53
12041,54.22,51.54,48.87,39.26,29.64,51.8,73.97
12043,57.59,64.69,71.79,69.01,66.22,81.39,96.56
12045,84.97,56.4,27.83,18.82,9.81,34.7,59.58
12047,75.1,77.65,80.2,82.86,85.51,86.96,88.42
12049,98.69,98.07,97.45,97.61,97.77,98.06,98.35
12051,97.17,96.78,96.4,96.99,97.58,97.24,96.91
12053,41.55,42.22,42.88,34.46,26.04,28.94,31.83
12055,66.13,66.11,66.09,74.78,83.48,71.53,59.58
12057,76.63,79.8,82.97,81.94,80.9,79.04,77.18
12059,40.24,48.46,56.67,61.44,66.22,61.39,56.56
12061,36.8,39.34,41.87,35.76,29.64,26.7,23.77
12063,60.52,62.51,64.5,74.53,84.56,77.38,70.21
12065,16.33,22.2,28.08,30.84,33.59,28.68,23.77
12067,54.89,72.42,89.94,92.04,94.14,93.49,92.84
12069,62.3,64.18,66.06,60.52,54.98,52.65,50.32
12071,69.5,68.48,67.46,65.29,63.13,63.98,64.83
12073,69.05,65.76,62.46,53.52,44.57,50.56,56.56
12075,79.18,74.09,68.99,67.6,66.22,68.22,70.21
12077,94.68,88.74,82.81,63.69,44.57,32.26,19.96
12079,88.06,88.58,89.11,88.11,87.11,82.94,78.77
12081,69.98,68.32,66.67,63.58,60.49,62.66,64.83
12083,55.49,49.01,42.53,41.54,40.56,51.48,62.41
12085,43.55,45.44,47.34,47.76,48.17,37.88,27.59
12086,94.52,94.95,95.38,95.42,95.45,95.67,95.89
12087,81.69,80.85,80.01,82.76,85.51,88.68,91.85
12089,21.08,23.24,25.41,25.72,26.04,28.94,31.83
12091,47.76,47.48,47.21,47.69,48.17,49.24,50.32
12093,95.0,94.38,93.76,92.5,91.24,88.36,85.49
12095,70.46,73.35,76.25,77.89,79.53,81.32,83.1
12097,78.41,80.58,82.74,82.36,81.98,82.03,82.08
12099,75.8,77.14,78.48,79.01,79.53,79.15,78.77
12101,52.85,50.84,48.84,46.7,44.57,42.4,40.23
12103,33.43,36.38,39.32,41.94,44.57,47.44,50.32
12105,84.43,84.22,84.02,84.76,85.51,82.82,80.14
12107,69.91,63.56,57.21,61.72,66.22,66.83,67.44
12109,18.94,17.32,15.7,13.96,12.23,18.0,23.77
12111,49.54,55.53,61.51,63.86,66.22,65.53,64.83
12113,51.0,53.99,56.99,50.78,44.57,49.0,53.44
12115,22.76,22.72,22.67,26.16,29.64,30.74,31.83
12117,20.76,24.86,28.97,38.57,48.17,57.8,67.44
12119,28.53,20.63,12.73,12.48,12.23,13.15,14.07
12121,73.45,73.98,74.5,77.7,80.9,83.2,85.49
12123,20.66,44.46,68.26,75.87,83.48,85.58,87.68
12125,84.08,73.9,63.71,63.42,63.13,76.7,90.26
12127,31.04,30.54,30.05,26.04,22.03,21.0,19.96
12129,48.04,54.84,61.64,58.31,54.98,61.21,67.44
12131,82.59,86.36,90.13,84.08,78.03,70.22,62.41
12133,63.51,54.96,46.42,56.32,66.22,62.9,59.58
13001,56.29,68.38,80.48,78.35,76.22,64.83,53.44
13003,78.0,66.1,54.19,66.11,78.03,78.4,78.77
13005,48.68,56.08,63.48,69.85,76.22,75.1,73.97
13007,91.47,90.68,89.88,86.68,83.48,66.9,50.32
13009,53.87,47.1,40.34,36.96,33.59,38.61,43.63
13011,69.66,69.16,68.67,64.58,60.49,65.35,70.21
13013,64.57,61.59,58.61,53.39,48.17,52.36,56.56
13015,77.08,75.82,74.56,73.52,72.49,66.04,59.58
13017,12.67,10.54,8.4,7.03,5.67,34.04,62.41
13019,45.05,34.22,23.4,30.22,37.03,32.31,27.59
13021,48.81,52.16,55.52,53.66,51.8,47.72,43.63
13023,8.98,16.37,23.75,16.78,9.81,34.7,59.58
13025,8.53,37.4,66.28,70.31,74.34,55.17,36.0
13027,91.31,91.29,91.28,83.75,76.22,79.66,83.1
13029,27.22,33.96,40.69,28.1,15.5,19.63,23.77
13031,60.62,54.09,47.56,55.34,63.13,56.72,50.32
13033,75.07,71.71,68.35,73.94,79.53,70.97,62.41
13035,78.8,67.18,55.56,64.03,72.49,67.45,62.41
13037,4.71,4.81,4.9,26.54,48.17,37.88,27.59
13039,32.44,38.81,45.18,54.16,63.13,43.45,23.77
13043,74.4,81.94,89.49,91.13,92.77,93.22,93.67
13045,70.33,65.11,59.89,52.23,44.57,44.1,43.63
13047,21.36,27.4,33.43,26.16,18.88,44.54,70.21
13049,13.63,8.33,3.02,6.42,9.81,41.09,72.37
13051,46.0,49.17,52.34,48.46,44.57,44.1,43.63
13053,88.22,79.57,70.93,75.23,79.53,75.95,72.37
13055,95.26,96.24,97.23,96.5,95.77,94.9,94.02
13057,58.2,57.91,57.62,49.09,40.56,32.16,23.77
13059,58.17,60.89,63.61,60.81,58.01,52.72,47.42
13061,82.11,61.67,41.23,40.9,40.56,25.84,11.11
13063,89.75,88.27,86.79,85.14,83.48,82.3,81.13
13065,12.48,20.86,29.23,58.17,87.11,88.06,89.02
13067,52.98,49.74,46.51,47.34,48.17,45.9,43.63
13069,80.96,71.65,62.34,57.07,51.8,63.66,75.53
13071,94.21,93.24,92.26,87.12,81.98,82.54,83.1
13073,12.13,17.58,23.02,17.62,12.23,11.67,11.11
13075,55.46,52.18,48.9,51.94,54.98,55.77,56.56
13077,42.34,43.96,45.59,41.31,37.03,42.22,47.42
13079,78.54,72.94,67.34,67.99,68.64,46.2,23.77
13081,86.06,83.83,81.6,77.97,74.34,66.96,59.58
13083,49.6,57.29,64.98,66.81,68.64,70.5,72.37
13085,29.48,27.74,26.01,38.9,51.8,68.64,85.49
13087,96.12,96.52,96.91,96.46,96.02,96.12,96.21
13089,72.33,71.98,71.63,67.38,63.13,63.98,64.83
13091,62.75,69.85,76.95,64.38,51.8,54.18,56.56
13093,77.75,83.48,89.21,63.12,37.03,64.73,92.43
13095,83.16,79.61,76.06,74.28,72.49,58.06,43.63
13097,57.72,54.94,52.15,51.97,51.8,62.08,72.37
13099,82.27,88.7,95.13,94.48,93.82,92.34,90.87
13101,90.89,91.84,92.8,85.42,78.03,77.6,77.18
13103,78.57,74.26,69.95,59.06,48.17,40.0,31.83
13105,61.6,52.46,43.33,38.46,33.59,59.97,86.35
13107,91.91,89.04,86.18,72.1,58.01,65.99,73.97
13109,85.39,80.8,76.22,77.12,78.03,84.76,91.5
