FIPS,2014 EPL_UNEMP,2015 EPL_UNEMP,2016 EPL_UNEMP,2017 EPL_UNEMP,2018 EPL_UNEMP,2019 EPL_UNEMP,2020 EPL_UNEMP
05067,49.38,55.72,62.05,65.18,68.31,82.53,96.75
05069,87.17,84.88,82.59,88.14,93.69,92.47,91.25
05071,32.22,33.22,34.22,30.16,26.11,27.36,28.61
05073,94.43,92.51,90.58,72.69,54.81,66.95,79.09
05075,50.72,59.42,68.13,71.98,75.83,81.71,87.59
05077,98.54,98.54,98.54,98.62,98.69,98.88,99.08
05079,96.82,94.52,92.23,55.22,18.22,11.18,4.14
05081,40.08,57.3,74.53,84.99,95.45,91.72,88.0
05083,51.74,59.44,67.14,77.82,88.5,80.0,71.51
05085,35.5,34.24,32.98,30.22,27.45,36.53,45.61
05087,49.38,38.29,27.19,46.32,65.45,76.13,86.82
05089,64.02,74.39,84.75,83.54,82.32,76.24,70.15
05091,60.74,66.82,72.91,78.55,84.2,86.76,89.31
05093,90.29,90.08,89.88,90.55,91.21,91.85,92.49
05095,87.17,87.85,88.54,79.73,70.92,71.92,72.92
05097,13.59,16.57,19.55,36.49,53.44,69.66,85.87
05099,83.25,69.39,55.52,53.62,51.72,57.26,62.79
05101,7.48,16.68,25.88,15.38,4.87,31.4,57.92
05103,78.13,71.4,64.66,70.24,75.83,80.85,85.87
05105,28.84,43.48,58.13,64.53,70.92,65.32,59.71
05107,98.69,98.77,98.85,96.86,94.87,97.06,99.24
05109,40.08,36.53,32.98,32.98,32.99,30.1,27.21
05111,80.58,65.07,49.57,53.13,56.69,51.15,45.61
05113,45.62,59.66,73.7,81.6,89.49,93.04,96.59
05115,41.39,47.82,54.25,58.16,62.07,63.24,64.42
05117,19.33,33.78,48.23,56.84,65.45,67.8,70.15
05119,45.62,44.65,43.68,44.29,44.9,48.31,51.72
05121,22.86,19.3,15.73,21.59,27.45,32.55,37.65
05123,87.68,88.96,90.23,86.82,83.41,76.78,70.15
05125,24.86,23.27,21.68,22.51,23.34,25.98,28.61
05127,61.99,77.62,93.25,93.8,94.36,80.26,66.17
05129,32.22,24.5,16.78,14.62,12.45,18.94,25.43
05131,32.22,31.2,30.18,34.99,39.81,44.68,49.55
05133,81.76,65.66,49.57,47.24,44.9,47.22,49.55
