FIPS,2014 OD,2015 OD,2016 OD,2017 OD,2018 OD,2019 OD,2020 OD
30083,10.7,13.1,14.0,12.54,15.3,9.16,19.8
30085,15.9,11.48,12.2,18.4,10.78,9.57,24.1
30087,7.1,9.74,11.27,9.4,9.0,12.87,16.96
30089,10.8,15.67,13.3,14.31,18.05,14.7,20.8
30091,11.0,10.1,14.6,14.8,10.1,8.58,18.7
30093,20.4,14.8,17.83,14.79,21.2,14.42,26.5
30095,8.4,9.2,9.8,11.1,16.42,15.42,18.52
30097,9.1,10.6,11.09,11.99,15.28,12.0,16.0
30099,11.07,11.1,13.5,14.4,12.84,13.3,18.1
30101,9.5,10.4,13.4,11.7,16.28,13.58,16.0
30103,8.7,9.5,14.7,10.65,13.45,11.5,22.5
30105,10.7,10.49,8.3,8.9,8.77,9.3,11.2
30107,9.26,9.75,11.7,12.33,12.8,13.2,17.0
30109,8.9,8.4,10.1,10.4,9.9,8.91,14.61
30111,13.9,10.48,14.7,11.69,17.9,20.1,22.5
31001,4.62,4.66,4.8,5.8,5.2,6.78,8.5
31003,3.3,3.6,5.27,4.4,4.2,5.1,5.6
31005,5.8,5.63,6.28,7.8,7.4,7.6,9.9
31007,8.2,9.0,10.47,11.1,10.6,10.25,14.1
31009,4.6,5.0,5.88,6.1,7.24,6.44,7.8
31011,3.9,4.6,4.9,5.53,5.0,5.2,7.2
31013,6.5,7.53,8.2,9.89,11.31,9.23,11.64
31015,4.68,4.83,6.93,5.7,5.9,5.6,7.72
31017,4.7,5.1,5.9,6.43,6.92,6.44,7.9
31019,4.87,4.93,5.5,6.72,5.55,7.9,8.67
31021,6.0,8.22,8.22,8.0,6.7,7.4,9.5
31023,5.62,5.7,6.42,6.61,6.45,7.39,9.24
31025,7.44,7.71,7.3,8.05,8.3,9.6,13.17
31027,4.37,4.56,4.75,5.62,5.52,5.4,7.63
31029,4.9,5.3,6.1,6.6,8.77,6.5,8.3
31031,5.99,5.3,6.0,8.58,9.28,7.63,9.77
31033,8.17,9.06,9.8,11.5,9.8,10.1,12.8
31035,3.6,3.9,6.42,6.72,5.56,4.7,6.1
31037,4.72,5.59,6.0,4.8,4.6,5.1,7.04
31039,4.4,6.49,5.4,5.8,5.6,6.1,7.9
31041,4.6,5.19,5.78,7.03,6.57,6.72,8.2
31043,6.1,4.88,5.57,5.7,7.13,8.25,7.8
31045,6.15,9.64,11.18,10.7,14.29,11.2,17.22
31047,5.2,4.97,4.5,7.8,4.6,5.4,7.93
31049,7.0,7.7,8.53,10.02,9.56,9.3,14.27
31051,3.6,4.93,4.72,5.27,6.13,6.44,6.2
31053,6.36,8.05,7.5,7.1,6.1,7.4,9.11
31055,8.9,8.7,6.87,11.4,8.6,10.5,11.08
31057,5.9,7.06,7.74,8.1,7.7,8.5,10.3
31059,4.2,4.8,6.15,5.6,5.3,5.5,7.5
31061,5.19,5.4,7.5,7.82,6.23,7.5,8.42
31063,4.5,4.9,5.6,8.7,5.7,7.4,9.19
31065,5.8,6.3,6.96,9.4,7.4,7.07,8.68
31067,5.92,6.6,7.17,7.1,7.2,8.22,9.9
31069,6.6,6.69,7.26,9.0,8.59,8.7,11.69
31071,5.9,5.0,7.4,9.0,8.1,7.8,10.8
31073,4.2,4.6,5.3,8.7,6.02,5.6,7.2
31075,6.07,5.8,6.47,7.2,6.8,7.0,9.1
31077,4.9,4.64,5.61,6.6,6.3,6.5,9.0
31079,4.3,4.29,5.55,6.52,5.38,7.09,10.31
31081,4.74,3.9,6.31,6.9,5.38,6.07,9.42
31083,5.1,5.72,7.03,8.18,6.6,6.7,8.7
31085,6.0,6.49,7.06,8.1,7.91,8.13,10.77
31087,7.0,7.7,8.8,8.8,9.0,9.3,10.54
31089,3.5,4.6,6.54,6.22,5.76,4.6,5.9
31091,5.8,5.4,6.1,6.6,7.1,6.5,9.0
31093,5.0,4.32,5.62,6.7,5.64,6.6,9.9
31095,4.53,5.2,5.9,6.7,7.24,6.2,8.95
31097,6.8,7.0,7.9,8.6,8.75,9.0,10.9
