FIPS,2014 EPL_CROWD,2015 EPL_CROWD,2016 EPL_CROWD,2017 EPL_CROWD,2018 EPL_CROWD,2019 EPL_CROWD,2020 EPL_CROWD,2021 EPL_CROWD,2022 EPL_CROWD
05013,0.0,9.88,19.77,20.9,22.03,12.02,2.01,2.0,2.0
05015,71.82,81.16,90.51,92.16,93.82,93.12,92.43,91.36,90.3
05017,84.78,73.43,62.08,56.94,51.8,58.32,64.83,66.66,68.5
05019,18.18,39.62,61.06,60.78,60.49,68.01,75.53,74.57,73.62
05021,57.66,60.7,63.74,52.15,40.56,34.08,27.59,23.93,20.27
05023,44.32,45.8,47.28,33.08,18.88,37.72,56.56,55.36,54.15
05025,13.18,16.5,19.83,20.93,22.03,14.47,6.91,13.59,20.27
05027,58.8,55.84,52.88,71.0,89.11,91.69,94.27,91.14,88.01
05029,83.19,79.05,74.91,67.7,60.49,52.06,43.63,41.48,39.33
05031,60.71,62.35,63.99,67.32,70.65,62.04,53.44,57.14,60.83
05033,84.37,85.29,86.21,81.21,76.22,75.1,73.97,78.54,83.11
05035,93.16,90.76,88.35,85.92,83.48,78.72,73.97,72.81,71.65
05037,17.29,26.86,36.42,45.7,54.98,74.93,94.88,94.1,93.32
05039,6.37,8.94,11.52,7.37,3.22,2.62,2.01,26.44,50.87
05041,52.72,36.65,20.57,25.1,29.64,38.53,47.42,67.32,87.21
05043,70.71,46.32,21.94,29.48,37.03,50.93,64.83,52.08,39.33
05045,46.77,52.9,59.03,53.6,48.17,47.8,47.42,52.5,57.59
05047,36.87,53.08,69.28,73.66,78.03,75.2,72.37,71.28,70.19
05049,79.97,87.18,94.4,89.96,85.51,89.89,94.27,92.04,89.82
05051,73.77,71.35,68.93,56.75,44.57,58.47,72.37,70.44,68.5
05053,31.49,39.4,47.31,43.94,40.56,45.44,50.32,41.15,31.98
05055,20.38,29.44,38.49,49.49,60.49,65.35,70.21,68.23,66.24
05057,76.7,76.22,75.74,75.98,76.22,76.7,77.18,62.15,47.12
05059,23.37,26.35,29.32,51.83,74.34,70.89,67.44,70.53,73.62
05061,79.02,76.25,73.48,68.3,63.13,75.77,88.42,86.64,84.86
05063,69.53,72.65,75.77,69.45,63.13,73.11,83.1,79.94,76.77
05065,67.72,70.01,72.3,54.66,37.03,28.5,19.96,29.64,39.33
05067,64.82,66.4,67.97,64.23,60.49,33.0,5.51,4.78,4.04
05069,35.18,45.12,55.05,55.01,54.98,57.28,59.58,51.34,43.11
05071,85.04,87.73,90.42,88.46,86.5,84.29,82.08,79.42,76.77
05073,6.3,9.62,12.93,30.55,48.17,40.0,31.83,37.47,43.11
05075,48.2,47.48,46.77,38.2,29.64,41.54,53.44,57.14,60.83
05077,8.85,15.8,22.76,31.66,40.56,59.66,78.77,69.8,60.83
05079,84.02,84.86,85.71,86.41,87.11,53.54,19.96,31.54,43.11
05081,16.68,17.27,17.86,15.04,12.23,29.83,47.42,56.83,66.24
05083,50.24,51.45,52.66,61.65,70.65,62.04,53.44,59.84,66.24
05085,62.5,65.88,69.25,60.53,51.8,43.9,36.0,41.56,47.12
05087,65.46,69.54,73.61,73.97,74.34,76.55,78.77,80.94,83.11
05089,76.19,59.2,42.22,39.62,37.03,42.22,47.42,52.5,57.59
05091,71.92,62.53,53.14,68.85,84.56,85.02,85.49,85.18,84.86
05093,79.59,73.48,67.37,78.5,89.62,88.65,87.68,82.99,78.3
05095,49.32,62.42,75.52,60.04,44.57,70.06,95.54,94.88,94.21
05097,55.68,50.14,44.6,51.3,58.01,44.92,31.83,20.66,9.48
05099,59.34,73.8,88.25,91.04,93.82,83.1,72.37,75.33,78.3
05101,62.69,68.2,73.7,62.75,51.8,30.28,8.75,25.93,43.11
05103,42.47,62.1,81.73,78.04,74.34,81.01,87.68,52.46,17.24
05105,91.56,84.98,78.41,82.46,86.5,89.46,92.43,89.15,85.87
05107,79.37,78.79,78.22,45.22,12.23,24.12,36.0,49.8,63.6
05109,45.37,43.14,40.91,56.7,72.49,74.01,75.53,78.87,82.21
05111,91.95,90.68,89.4,90.48,91.56,83.54,75.53,51.59,27.65
05113,88.0,90.61,93.22,92.23,91.24,88.06,84.88,71.24,57.59
05115,78.13,76.61,75.1,65.04,54.98,47.6,40.23,50.53,60.83
05117,68.29,71.28,74.28,76.16,78.03,64.18,50.32,26.74,3.15
05119,37.76,41.55,45.34,46.76,48.17,52.36,56.56,51.84,47.12
05121,42.5,55.56,68.61,70.55,72.49,72.43,72.37,74.57,76.77
05123,78.96,70.25,61.54,67.02,72.49,72.43,72.37,59.74,47.12
05125,35.63,46.0,56.38,52.28,48.17,42.08,36.0,41.56,47.12
05127,88.95,87.74,86.53,83.03,79.53,83.6,87.68,79.67,71.65
05129,47.5,50.02,52.53,34.02,15.5,9.69,3.88,3.52,3.15
05131,69.4,73.36,77.33,80.4,83.48,81.81,80.14,80.65,81.16
05133,92.74,94.27,95.8,96.56,97.33,97.24,97.14,97.49,97.84
05135,80.71,84.5,88.28,83.9,79.53,70.97,62.41,63.0,63.6
05137,81.28,50.1,18.91,18.9,18.88,44.54,70.21,74.97,79.73
05139,88.89,91.45,94.01,93.18,92.36,92.4,92.43,86.08,79.73
05141,74.31,64.66,55.01,59.07,63.13,63.98,64.83,64.22,63.6
05143,90.64,88.64,86.63,84.3,81.98,85.2,88.42,88.62,88.83
05145,66.86,61.3,55.75,46.39,37.03,40.33,43.63,52.23,60.83
05147,61.76,67.38,73.0,41.4,9.81,22.9,36.0,33.99,31.98
05149,92.26,92.85,93.44,93.79,94.14,93.9,93.67,94.56,95.45
06001,95.03,95.78,96.53,96.94,97.36,97.34,97.33,97.22,97.1
06003,58.77,51.9,45.02,52.76,60.49,72.99,85.49,69.82,54.15
