FIPS,2014 EPL_UNEMP,2015 EPL_UNEMP,2016 EPL_UNEMP,2017 EPL_UNEMP,2018 EPL_UNEMP,2019 EPL_UNEMP,2020 EPL_UNEMP,2021 EPL_UNEMP,2022 EPL_UNEMP
06025,98.38,98.57,98.76,98.72,98.69,98.85,99.01,99.0,98.98
06027,44.57,43.49,42.41,43.66,44.9,36.76,28.61,41.27,53.93
06029,89.88,91.57,93.25,93.8,94.36,93.79,93.22,92.82,92.43
06031,93.19,92.88,92.58,89.34,86.11,88.35,90.58,92.73,94.88
06033,96.98,96.72,96.47,94.78,93.09,94.84,96.59,96.77,96.95
06035,90.61,85.34,80.07,70.19,60.32,65.91,71.51,81.19,90.87
06037,77.3,76.46,75.61,73.26,70.92,73.9,76.89,80.82,84.76
06039,63.01,65.57,68.13,76.77,85.41,90.16,94.91,96.38,97.84
06041,36.55,31.22,25.88,23.88,21.88,31.78,41.69,56.26,70.82
06043,89.88,86.62,83.35,85.69,88.03,89.86,91.69,84.2,76.71
06045,85.42,87.82,90.23,90.38,90.54,90.9,91.25,92.95,94.65
06047,97.96,98.06,98.15,97.84,97.52,97.18,96.85,97.06,97.26
06049,85.42,67.49,49.57,66.88,84.2,87.39,90.58,90.07,89.56
06051,83.25,74.63,66.0,39.85,13.69,11.44,9.2,7.52,5.85
06053,64.02,57.59,51.16,49.96,48.76,51.3,53.85,57.72,61.6
06055,50.72,48.44,46.16,43.91,41.66,41.68,41.69,50.45,59.21
06057,74.91,74.72,74.53,69.99,65.45,48.05,30.65,36.66,42.67
06059,55.21,52.39,49.57,46.3,43.03,47.38,51.72,57.79,63.86
06061,60.74,56.65,52.56,46.18,39.81,37.6,35.39,37.89,40.38
06063,97.13,95.03,92.93,79.19,65.45,69.82,74.19,82.67,91.15
06065,93.47,92.36,91.24,89.26,87.29,85.56,83.83,83.07,82.31
06067,89.37,87.72,86.06,81.98,77.9,76.7,75.49,76.72,77.95
06069,92.71,90.94,89.18,83.54,77.9,81.89,85.87,81.29,76.71
06071,92.23,91.23,90.23,89.36,88.5,86.16,83.83,85.0,86.16
06073,64.02,63.82,63.61,64.53,65.45,69.18,72.92,75.44,77.95
06075,41.39,41.16,40.94,38.64,36.34,40.98,45.61,54.74,63.86
06077,94.75,94.0,93.25,90.64,88.03,85.64,83.26,84.71,86.16
06079,45.62,38.6,31.58,33.22,34.87,38.28,41.69,48.86,56.03
06081,38.81,35.89,32.98,29.54,26.11,28.38,30.65,38.01,45.37
06083,56.45,55.98,55.52,57.92,60.32,62.37,64.42,69.14,73.85
06085,55.21,50.68,46.16,42.27,38.38,36.88,35.39,39.03,42.67
06087,54.09,55.54,56.99,60.38,63.76,67.64,71.51,72.01,72.51
06089,84.97,79.33,73.7,67.88,62.07,65.39,68.71,75.06,81.42
06091,34.54,24.08,13.63,24.25,34.87,58.27,81.67,74.72,67.77
06093,93.7,93.14,92.58,87.45,82.32,83.58,84.85,86.41,87.97
06095,84.37,84.56,84.75,79.11,73.47,71.09,68.71,70.61,72.51
06097,64.02,58.29,52.56,47.8,43.03,43.44,43.86,51.54,59.21
06099,96.66,96.61,96.56,95.71,94.87,93.48,92.08,91.94,91.79
06101,92.71,91.79,90.86,91.86,92.87,89.84,86.82,88.19,89.56
06103,96.34,95.62,94.91,93.06,91.21,91.85,92.49,90.23,87.97
