FIPS,2014 EPL_NOVEH,2015 EPL_NOVEH,2016 EPL_NOVEH,2017 EPL_NOVEH,2018 EPL_NOVEH,2019 EPL_NOVEH,2020 EPL_NOVEH,2021 EPL_NOVEH,2022 EPL_NOVEH
06011,42.38,30.72,19.07,31.71,44.35,37.45,30.55,33.03,35.51
06013,49.32,49.82,50.33,48.55,46.77,46.41,46.05,45.3,44.54
06015,81.12,85.68,90.23,89.58,88.92,86.47,84.02,79.87,75.72
06017,24.99,27.19,29.39,25.93,22.48,25.79,29.09,25.58,22.08
06019,85.86,85.29,84.72,83.78,82.84,81.03,79.22,77.92,76.61
06021,69.79,68.93,68.07,50.94,33.81,29.78,25.75,22.68,19.6
06023,71.06,72.47,73.89,74.44,74.98,73.95,72.92,72.47,72.03
06025,82.84,80.12,77.4,75.39,73.38,72.51,71.64,67.75,63.86
06027,82.84,81.28,79.72,72.68,65.65,58.1,50.54,48.48,46.42
06029,67.53,67.29,67.05,66.35,65.65,65.6,65.56,65.26,64.97
06031,64.34,66.2,68.07,64.25,60.43,52.32,44.21,41.8,39.39
06033,62.97,68.86,74.75,70.88,67.02,54.92,42.81,48.2,53.58
06035,62.97,61.41,59.85,56.4,52.94,46.14,39.34,41.94,44.54
06037,88.38,87.79,87.2,86.46,85.71,85.54,85.36,85.95,86.54
06039,61.76,61.65,61.54,57.98,54.41,42.48,30.55,30.58,30.61
06041,36.52,38.19,39.86,37.79,35.72,32.4,29.09,32.3,35.51
06043,10.73,8.89,7.04,9.06,11.08,25.21,39.34,42.88,46.42
06045,75.17,74.53,73.89,66.47,59.06,64.9,70.75,76.4,82.06
06047,71.89,72.89,73.89,73.06,72.24,71.94,71.64,73.12,74.61
06049,44.51,30.37,16.24,18.69,21.14,18.59,16.04,35.83,55.62
06051,19.33,19.86,20.38,13.34,6.3,9.96,13.62,9.78,5.95
06053,38.2,34.75,31.3,31.65,32.0,30.54,29.09,34.24,39.39
06055,32.73,33.73,34.73,35.94,37.15,39.08,41.02,41.11,41.2
06057,23.62,25.62,27.63,25.06,22.48,20.52,18.56,22.82,27.08
06059,29.74,29.56,29.39,28.18,26.97,29.72,32.46,33.98,35.51
06061,15.79,16.67,17.54,18.07,18.59,19.23,19.86,20.97,22.08
06063,62.97,61.41,59.85,54.16,48.46,47.26,46.05,39.87,33.69
06065,34.8,33.05,31.3,28.46,25.63,24.8,23.97,24.44,24.91
06067,75.17,74.01,72.84,70.56,68.29,64.57,60.85,61.54,62.23
06069,9.36,7.17,4.97,5.0,5.03,6.72,8.4,11.26,14.13
