FIPS,2014 EPL_DISABL,2015 EPL_DISABL,2016 EPL_DISABL,2017 EPL_DISABL,2018 EPL_DISABL,2019 EPL_DISABL,2020 EPL_DISABL,2021 EPL_DISABL,2022 EPL_DISABL
05027,83.22,78.86,74.5,74.42,74.34,74.71,75.08,74.74,74.39
05029,77.84,82.46,87.07,90.3,93.54,95.16,96.79,96.2,95.61
05031,47.85,58.38,68.9,67.88,66.86,71.56,76.26,74.09,71.91
05033,68.26,72.03,75.8,79.53,83.25,80.8,78.36,77.33,76.3
05035,60.17,64.09,68.0,65.79,63.58,61.95,60.31,62.83,65.35
05037,89.4,90.04,90.67,86.38,82.08,76.54,71.01,73.66,76.3
05039,95.45,96.18,96.91,95.11,93.31,94.56,95.8,97.18,98.57
05041,78.16,81.96,85.77,85.58,85.39,77.91,70.43,76.8,83.17
05043,80.01,85.0,90.0,87.06,84.11,81.63,79.15,77.44,75.72
05045,24.45,24.37,24.29,32.86,41.42,41.14,40.87,37.72,34.58
05047,69.79,75.96,82.14,84.24,86.34,90.44,94.53,94.8,95.07
05049,97.01,97.21,97.42,96.32,95.22,94.16,93.09,93.57,94.05
05051,81.31,79.7,78.1,81.36,84.62,86.68,88.73,89.37,90.01
05053,75.33,70.33,65.33,73.33,81.34,76.86,72.37,75.52,78.68
05055,80.01,82.89,85.77,89.26,92.74,90.61,88.48,84.82,81.16
05057,85.8,84.52,83.25,76.54,69.82,74.48,79.15,80.43,81.71
05059,94.97,95.42,95.86,95.21,94.56,94.02,93.48,94.76,96.05
05061,71.76,69.24,66.73,70.16,73.58,74.1,74.63,73.27,71.91
05063,69.79,72.14,74.5,77.92,81.34,78.8,76.26,77.47,78.68
05065,94.3,93.12,91.95,94.0,96.05,97.07,98.09,97.77,97.45
05067,91.12,91.15,91.18,90.91,90.64,91.79,92.93,92.72,92.52
05069,74.59,77.01,79.43,74.99,70.55,72.59,74.63,75.46,76.3
05071,67.62,66.0,64.37,74.01,83.64,84.66,85.68,84.79,83.9
05073,92.68,93.92,95.16,93.73,92.3,93.88,95.45,92.04,88.64
05075,73.96,82.57,91.18,92.87,94.56,94.24,93.92,93.6,93.29
05077,94.81,96.74,98.66,96.79,94.91,94.29,93.67,94.92,96.18
05079,87.33,89.48,91.63,92.82,94.01,85.69,77.37,72.4,67.42
05081,72.62,79.19,85.77,87.32,88.86,84.34,79.82,75.48,71.14
05083,90.19,89.4,88.6,87.47,86.34,90.24,94.14,92.07,90.01
05085,55.71,46.83,37.95,35.54,33.14,40.15,47.17,50.62,54.06
05087,82.74,76.71,70.68,74.39,78.1,83.42,88.73,84.31,79.89
05089,98.34,96.99,95.64,94.12,92.61,95.18,97.74,97.04,96.34
05091,65.87,67.38,68.9,73.97,79.05,77.43,75.81,76.61,77.41
05093,89.62,87.7,85.77,82.98,80.2,76.72,73.23,78.96,84.7
