FIPS,2014 OD,2015 OD,2016 OD,2017 OD,2018 OD,2019 OD,2020 OD
05061,11.96,12.64,14.12,14.72,8.8,8.5,11.5
05063,11.1,11.9,14.12,14.72,14.4,12.4,15.8
05065,16.0,22.8,14.12,24.2,19.8,14.24,17.36
05067,10.9,13.3,15.7,13.5,13.7,14.8,18.5
05069,11.96,10.9,10.1,14.72,14.4,14.24,17.36
05071,11.96,14.4,14.12,18.7,14.4,14.24,20.4
05073,11.96,12.64,14.12,8.6,8.2,14.24,10.9
05075,11.96,12.64,13.3,15.9,15.2,15.6,25.3
05077,8.4,12.64,10.4,13.4,11.4,14.24,17.36
05079,11.96,12.64,14.12,19.8,14.4,14.24,17.36
05081,10.3,12.64,12.6,16.1,14.4,14.24,15.9
05083,16.5,16.0,14.12,19.9,24.6,19.7,17.36
05085,15.1,12.64,19.7,14.8,17.2,18.1,17.36
05087,8.3,12.64,12.0,10.2,11.0,10.6,13.3
05089,11.96,12.64,14.12,14.72,14.4,17.3,20.3
05091,7.9,7.2,14.12,8.1,14.4,9.4,17.36
05093,11.96,12.64,17.8,14.72,15.3,14.24,17.36
05095,11.96,7.3,14.12,14.72,14.4,9.4,17.36
05097,10.8,11.7,13.3,15.1,14.4,14.24,17.36
05099,7.3,12.64,9.6,9.1,8.7,14.24,11.5
05101,11.96,15.2,17.2,14.72,18.8,20.5,24.5
05103,11.96,12.64,12.2,14.72,14.4,14.24,17.36
05105,11.96,12.64,14.12,15.2,12.9,14.24,17.36
05107,11.96,7.3,9.3,14.72,8.6,8.3,17.36
05109,12.3,15.9,14.12,16.1,18.4,14.24,21.2
05111,16.0,18.1,20.0,14.72,19.5,20.0,17.36
05113,12.4,15.7,14.12,15.9,15.3,14.9,26.4
05115,11.96,9.8,13.9,11.8,14.4,14.24,15.6
05117,11.96,12.64,14.12,14.72,14.4,14.24,13.3
05119,13.8,12.3,14.6,14.72,20.0,19.8,17.36
05121,12.3,14.1,14.12,15.9,14.4,14.24,21.5
05123,11.96,6.8,14.12,9.1,14.4,14.24,12.0
05125,13.6,12.64,16.8,14.72,17.2,14.24,17.36
05127,11.96,12.64,14.12,14.72,14.4,19.4,17.36
05129,12.0,14.8,14.12,14.72,14.4,15.7,18.8
05131,11.96,16.4,19.7,14.72,16.6,13.7,17.36
05133,9.0,12.64,11.0,13.2,14.4,14.24,17.36
05135,17.2,12.64,20.7,24.3,18.0,19.4,29.2
05137,11.96,11.4,14.12,14.72,14.0,14.24,17.1
05139,11.96,9.8,14.12,14.1,15.0,15.4,17.36
05141,11.96,12.7,12.7,14.72,13.1,14.24,16.8
05143,11.96,12.64,8.3,14.72,14.4,7.8,8.9
05145,11.96,12.64,15.4,14.72,14.4,15.4,19.6
05147,11.96,12.64,13.5,15.4,14.7,13.4,19.4
05149,11.96,12.64,14.3,16.0,16.2,13.4,17.36
06001,10.4,12.3,10.2,19.68,11.7,15.0,19.3
06003,17.1,17.69,21.3,19.68,21.9,24.0,25.24
06005,29.0,23.1,17.35,19.68,24.9,31.7,25.24
06007,18.74,17.69,17.35,19.68,18.26,21.29,35.3
06009,18.74,21.4,21.3,19.68,21.6,25.5,25.24
06011,18.74,17.69,17.35,19.68,18.26,15.2,25.24
06013,11.4,9.9,17.35,10.6,18.26,21.29,20.3
06015,17.5,18.7,17.35,22.8,17.3,23.5,29.3
06017,18.74,21.3,23.1,19.5,19.8,21.29,23.2
06019,13.3,17.69,17.35,12.9,18.26,21.29,17.4
06021,22.0,17.69,20.4,19.68,18.26,22.2,25.24
06023,18.74,31.8,40.0,35.0,18.26,30.6,25.24
06025,18.74,20.2,19.0,19.68,18.26,21.29,32.6
06027,20.5,18.8,24.5,22.3,29.1,21.29,25.24
06029,18.74,24.1,17.35,25.9,18.26,21.29,39.8
06031,18.74,10.5,17.35,19.68,13.1,21.29,25.24
06033,18.74,17.69,36.3,47.3,18.26,67.6,25.24
06035,33.5,29.1,17.35,19.68,28.7,38.4,25.24
06037,18.74,17.69,8.2,19.68,18.26,21.29,25.24
06039,18.74,17.69,13.2,19.68,11.1,21.29,16.4
06041,9.2,9.5,17.35,19.68,13.7,21.29,21.8
06043,22.5,19.7,17.35,25.8,22.5,28.3,34.3
06045,26.8,17.69,17.35,30.6,18.26,21.29,45.8
06047,18.74,14.4,14.6,13.5,18.26,16.1,25.24
06049,25.4,23.2,17.35,32.9,18.26,21.29,32.5
06051,18.74,10.5,17.35,19.68,18.26,12.5,25.24
06053,11.4,11.2,12.8,11.2,12.1,21.29,22.4
06055,18.74,12.8,10.6,11.8,18.26,13.3,25.24
06057,18.74,17.69,19.5,19.68,18.6,19.4,25.24
06059,18.74,12.1,13.2,11.9,18.26,13.0,20.6
06061,18.74,12.3,13.2,19.68,18.26,21.29,25.24
06063,18.74,31.7,17.35,30.4,18.26,21.29,25.24
06065,18.74,14.4,17.35,17.1,18.26,21.29,27.8
06067,18.74,17.69,15.4,14.4,18.26,21.29,19.0
06069,18.74,10.9,9.9,19.68,12.5,13.7,16.7
06071,6.0,5.1,4.9,9.2,18.26,11.4,23.2
06073,12.9,17.69,17.35,14.7,14.5,21.29,25.24
06075,19.6,17.69,21.8,19.68,27.1,21.29,25.24
06077,18.74,16.2,15.3,19.68,16.6,16.8,21.5
06079,18.74,18.0,17.35,19.68,16.3,18.6,29.0
06081,18.74,9.2,7.4,10.7,9.1,12.9,25.24
06083,18.74,17.69,17.35,19.68,16.3,18.1,25.24
06085,18.74,7.5,17.35,8.4,18.26,11.2,15.8
06087,20.4,17.69,18.1,19.68,18.26,20.1,23.2
06089,23.2,19.8,23.5,22.6,18.26,21.29,31.0
06091,26.1,17.69,28.5,30.6,18.26,30.1,40.9
06093,18.74,25.6,29.6,19.68,20.5,21.29,25.24
06095,18.74,17.69,12.1,13.9,18.26,21.29,18.4
