FIPS,2014 OD,2015 OD,2016 OD,2017 OD,2018 OD,2019 OD,2020 OD
06013,11.4,9.9,12.5,10.6,13.39,15.62,20.3
06015,17.5,18.7,25.0,22.8,17.3,23.5,29.3
06017,24.52,21.3,23.1,19.5,19.8,27.03,23.2
06019,13.3,14.9,14.05,12.9,15.5,17.45,17.4
06021,22.0,20.83,20.4,34.27,15.2,22.2,28.62
06023,20.61,31.8,40.0,35.0,22.93,30.6,34.66
06025,16.58,20.2,19.0,18.5,15.22,20.46,32.6
06027,20.5,18.8,24.5,22.3,29.1,15.6,26.06
06029,14.35,24.1,12.98,25.9,17.82,16.06,39.8
06031,13.98,10.5,14.01,14.01,13.1,17.58,23.73
06033,19.19,15.22,36.3,47.3,12.74,67.6,27.48
06035,33.5,29.1,24.01,29.09,28.7,38.4,34.29
06037,11.89,14.49,8.2,15.77,16.3,12.54,27.15
06039,20.79,20.07,13.2,20.33,11.1,22.12,16.4
06041,9.2,9.5,13.0,14.7,13.7,20.2,21.8
06043,22.5,19.7,13.77,25.8,22.5,28.3,34.3
06045,26.8,21.51,25.54,30.6,17.52,34.89,45.8
06047,17.42,14.4,14.6,13.5,14.41,16.1,20.15
06049,25.4,23.2,21.94,32.9,21.91,27.83,32.5
06051,20.66,10.5,18.48,23.73,22.85,12.5,26.48
06053,11.4,11.2,12.8,11.2,12.1,16.17,22.4
06055,13.69,12.8,10.6,11.8,12.42,13.3,20.66
06057,24.9,13.51,19.5,30.15,18.6,19.4,32.23
06059,11.04,12.1,13.2,11.9,15.42,13.0,20.6
06061,22.18,12.3,13.2,24.48,20.62,21.68,26.38
06063,27.05,31.7,22.27,30.4,24.56,23.89,31.7
06065,13.06,14.4,15.83,17.1,14.87,16.68,27.8
06067,17.58,16.95,15.4,14.4,16.79,21.55,19.0
06069,14.07,10.9,9.9,11.45,12.5,13.7,16.7
06071,6.0,5.1,4.9,9.2,19.51,11.4,23.2
06073,12.9,15.43,15.95,14.7,14.5,16.65,26.94
06075,19.6,9.2,21.8,10.7,27.1,12.9,19.64
06077,18.58,16.2,15.3,12.45,16.6,16.8,21.5
06079,13.56,18.0,13.1,16.13,16.3,18.6,29.0
06081,16.89,9.2,7.4,10.7,9.1,12.9,19.64
06083,14.3,20.36,13.4,19.91,16.3,18.1,33.18
06085,16.13,7.5,13.0,8.4,10.86,11.2,15.8
06087,20.4,8.97,18.1,9.88,10.66,20.1,23.2
06089,23.2,19.8,23.5,22.6,24.64,24.0,31.0
06091,26.1,21.19,28.5,30.6,21.59,30.1,40.9
06093,19.67,25.6,29.6,25.96,20.5,24.44,28.14
06095,12.0,12.57,12.1,13.9,13.37,15.6,18.4
06097,14.9,11.22,13.0,14.7,13.57,20.2,29.4
06099,19.51,19.0,14.1,13.8,16.48,18.02,21.47
06101,15.14,17.92,12.8,22.59,15.9,18.33,21.84
06103,22.6,23.65,14.6,26.48,20.79,12.2,17.6
06105,19.6,22.3,27.83,25.3,27.1,25.72,32.7
06107,16.38,17.58,16.51,8.7,19.78,17.58,15.3
06109,30.3,34.8,17.13,29.0,22.2,23.11,25.04
06111,14.3,19.24,13.4,20.08,16.3,15.2,32.82
06113,11.2,15.6,14.6,12.7,10.5,22.94,15.3
06115,21.68,17.19,16.7,27.64,19.37,14.6,19.8
08001,12.98,14.34,12.38,15.25,17.45,12.69,20.24
08003,30.6,21.7,35.56,36.77,32.28,25.2,40.57
08005,14.7,14.1,13.4,14.2,17.1,12.31,21.7
08007,34.07,32.12,15.3,33.32,34.96,21.33,22.1
08009,12.7,13.8,15.7,20.94,15.35,17.7,22.7
08011,16.8,19.18,21.9,22.1,18.85,20.6,29.6
08013,13.44,13.13,13.96,16.6,14.39,16.1,21.8
08014,13.4,13.13,13.96,16.04,15.99,16.1,21.3
08015,16.6,16.9,19.96,19.8,18.0,22.6,21.4
08017,7.4,9.57,10.71,12.84,9.5,9.8,17.1
08019,13.58,13.8,14.7,16.7,12.12,19.21,19.78
08021,43.63,34.13,31.4,42.42,27.2,28.67,37.43
08023,25.9,29.76,38.1,35.79,30.6,33.4,45.8
08025,12.8,13.9,19.74,20.46,24.38,18.62,30.93
08027,16.7,19.4,21.9,27.49,41.9,28.13,41.8
08029,12.75,15.84,17.75,21.51,14.65,19.7,25.1
08031,14.7,18.0,12.89,22.4,22.2,12.31,21.7
08033,16.6,17.0,20.6,22.2,13.48,20.4,28.0
08035,17.49,14.34,11.0,9.7,21.24,9.7,13.6
08037,7.6,9.0,9.4,16.67,14.26,17.92,12.4
08039,15.68,11.3,16.56,13.3,20.84,14.5,22.76
08041,18.0,16.02,24.2,19.25,26.0,13.93,36.4
08043,16.5,17.97,28.8,25.9,30.97,20.79,38.0
08045,13.27,15.56,19.1,17.1,15.9,17.5,18.79
08047,13.8,13.2,14.43,16.66,14.3,17.94,20.12
08049,12.75,10.9,13.7,16.33,13.81,18.02,17.81
08051,10.1,15.2,17.75,20.45,11.8,18.78,17.8
08053,13.47,18.4,15.4,21.99,19.63,18.28,21.03
08055,38.2,26.08,48.6,32.18,41.9,31.84,47.9
08057,15.9,14.48,16.57,21.3,15.32,18.29,17.76
08059,14.96,14.31,14.33,17.03,18.37,15.25,20.66
08061,12.52,10.7,15.73,13.1,12.5,12.9,23.65
08063,9.5,8.5,10.34,11.9,10.62,11.0,14.6
08065,13.4,12.71,13.3,18.7,16.9,21.9,18.39
08067,13.87,15.41,14.8,15.5,23.07,14.6,17.2
08069,13.35,15.2,13.2,15.6,15.2,16.28,17.2
08071,33.9,41.8,30.43,36.5,35.1,37.7,43.4
08073,13.27,12.66,13.7,13.8,20.08,13.6,18.5
08075,8.82,11.7,10.27,13.3,14.2,10.71,22.1
08077,14.7,20.7,19.81,25.0,17.1,19.7,22.16
08079,23.93,24.08,17.4,20.0,17.9,18.4,23.9
08081,17.4,16.2,18.2,20.04,16.6,21.11,21.49
08083,14.68,15.3,22.7,17.9,16.61,21.5,25.8
08085,12.41,10.4,18.84,17.6,17.0,17.76,19.98
08087,8.82,11.7,9.7,11.67,14.9,10.2,18.05
08089,21.6,21.21,21.0,21.2,22.93,24.66,28.3
08091,11.03,14.48,14.7,20.02,15.1,17.5,19.46
08093,16.23,13.9,19.2,19.28,18.96,18.7,24.11
08095,8.44,8.7,10.6,8.63,10.2,10.38,16.12
08097,12.7,13.3,12.97,19.55,15.38,15.3,22.2
08099,12.6,13.47,14.34,16.54,13.37,15.3,20.4
08101,23.01,22.49,26.74,30.4,33.66,23.4,41.0
08103,14.27,15.2,18.73,17.9,20.0,21.8,18.2
08105,37.58,24.3,30.3,35.7,25.67,23.65,31.3
08107,14.29,12.8,16.99,18.54,14.5,16.5,18.2
08109,24.24,20.87,27.63,27.09,25.68,22.89,29.47
08111,12.26,14.5,16.6,19.91,17.4,18.7,21.23
08113,10.1,14.43,18.17,20.39,13.5,13.1,16.6
08115,10.4,8.78,9.5,10.11,10.5,13.7,17.6
08117,12.03,12.0,11.4,12.0,11.0,19.54,17.0
08119,18.5,15.58,20.88,22.8,26.15,14.15,28.1
08121,9.18,10.81,9.7,10.4,14.37,10.2,14.9
08123,10.88,13.18,12.67,13.56,14.05,12.97,19.41
08125,7.19,8.45,8.92,6.1,9.45,9.1,14.06
09001,15.87,14.7,19.45,18.1,22.05,20.1,24.6
09003,19.48,23.0,22.42,29.96,33.8,36.68,42.2
09005,16.99,28.4,24.1,27.58,29.42,35.83,42.9
09007,20.3,22.02,21.55,28.6,35.9,40.37,36.3
09009,17.6,21.56,21.55,34.2,30.5,39.7,46.4
09011,21.67,21.66,21.26,27.76,35.0,41.1,41.6
09013,21.3,16.1,21.98,31.08,33.65,22.2,40.86
09015,22.09,27.5,22.18,32.84,33.93,31.6,41.0
10001,19.67,21.4,25.0,23.6,32.9,34.6,43.25
10003,22.51,27.68,38.67,40.8,39.1,46.0,45.2
10005,18.52,23.68,32.6,29.13,29.72,30.15,47.5
11001,7.54,18.7,38.1,43.4,35.3,11.38,58.3
12001,9.3,17.26,21.27,11.3,19.97,20.43,30.56
