FIPS,2014 OD,2015 OD,2016 OD,2017 OD,2018 OD,2019 OD,2020 OD
05081,10.3,14.8,12.6,16.1,17.7,17.8,15.9
05083,16.5,16.0,17.19,19.9,24.6,19.7,23.4
05085,15.1,14.8,19.7,14.8,17.2,18.1,23.4
05087,8.3,14.8,12.0,10.2,11.0,10.6,13.3
05089,13.72,14.8,17.19,18.59,17.7,17.3,20.3
05091,7.9,7.2,17.19,8.1,17.7,9.4,23.4
05093,13.72,14.8,17.8,18.59,15.3,17.8,23.4
05095,13.72,7.3,17.19,18.59,17.7,9.4,23.4
05097,10.8,11.7,13.3,15.1,17.7,17.8,23.4
05099,7.3,14.8,9.6,9.1,8.7,17.8,11.5
05101,13.72,15.2,17.2,18.59,18.8,20.5,24.5
05103,13.72,14.8,12.2,18.59,17.7,17.8,23.4
05105,13.72,14.8,17.19,15.2,12.9,17.8,23.4
05107,13.72,7.3,9.3,18.59,8.6,8.3,23.4
05109,12.3,15.9,17.19,16.1,18.4,17.8,21.2
05111,16.0,18.1,20.0,18.59,19.5,20.0,23.4
05113,12.4,15.7,17.19,15.9,15.3,14.9,26.4
05115,13.72,9.8,13.9,11.8,17.7,17.8,15.6
05117,13.72,14.8,17.19,18.59,17.7,17.8,13.3
05119,13.8,12.3,14.6,18.59,20.0,19.8,23.4
05121,12.3,14.1,17.19,15.9,17.7,17.8,21.5
05123,13.72,6.8,17.19,9.1,17.7,17.8,12.0
05125,13.6,14.8,16.8,18.59,17.2,17.8,23.4
05127,13.72,14.8,17.19,18.59,17.7,19.4,23.4
05129,12.0,14.8,17.19,18.59,17.7,15.7,18.8
05131,13.72,16.4,19.7,18.59,16.6,13.7,23.4
05133,9.0,14.8,11.0,13.2,17.7,17.8,23.4
05135,17.2,14.8,20.7,24.3,18.0,19.4,29.2
05137,13.72,11.4,17.19,18.59,14.0,17.8,17.1
05139,13.72,9.8,17.19,14.1,15.0,15.4,23.4
05141,13.72,12.7,12.7,18.59,13.1,17.8,16.8
05143,13.72,14.8,8.3,18.59,17.7,7.8,8.9
05145,13.72,14.8,15.4,18.59,17.7,15.4,19.6
05147,13.72,14.8,13.5,15.4,14.7,13.4,19.4
05149,13.72,14.8,14.3,16.0,16.2,13.4,23.4
06001,10.4,12.3,10.2,18.59,11.7,15.0,19.3
06003,17.1,14.8,21.3,18.59,21.9,24.0,23.4
