FIPS,2014 OD,2015 OD,2016 OD,2017 OD,2018 OD,2019 OD,2020 OD
05035,9.2,-9.0,12.0,18.8,17.6,-9.0,18.8
05037,-9.0,13.5,-9.0,16.2,-9.0,-9.0,-9.0
05039,-9.0,-9.0,8.2,8.9,8.5,-9.0,-9.0
05041,6.2,6.7,7.7,8.2,7.9,8.6,11.0
05043,11.3,-9.0,13.8,15.5,-9.0,-9.0,17.1
05045,12.3,10.4,13.2,13.6,-9.0,-9.0,16.8
05047,-9.0,-9.0,21.4,-9.0,-9.0,17.1,-9.0
05049,14.1,-9.0,18.1,-9.0,-9.0,21.2,-9.0
05051,25.1,-9.0,-9.0,-9.0,-9.0,23.8,-9.0
05053,12.4,-9.0,-9.0,15.2,13.8,-9.0,16.6
05055,-9.0,-9.0,18.0,15.1,17.4,13.6,20.9
05057,7.0,-9.0,-9.0,-9.0,11.0,10.1,-9.0
05059,-9.0,11.4,13.4,19.8,12.3,-9.0,-9.0
05061,-9.0,-9.0,-9.0,-9.0,8.8,8.5,11.5
05063,11.1,11.9,-9.0,-9.0,-9.0,12.4,15.8
05065,16.0,22.8,-9.0,24.2,19.8,-9.0,-9.0
05067,10.9,13.3,15.7,13.5,13.7,14.8,18.5
05069,-9.0,10.9,10.1,-9.0,-9.0,-9.0,-9.0
05071,-9.0,14.4,-9.0,18.7,-9.0,-9.0,20.4
05073,-9.0,-9.0,-9.0,8.6,8.2,-9.0,10.9
05075,-9.0,-9.0,13.3,15.9,15.2,15.6,25.3
05077,8.4,-9.0,10.4,13.4,11.4,-9.0,-9.0
05079,-9.0,-9.0,-9.0,19.8,-9.0,-9.0,-9.0
05081,10.3,-9.0,12.6,16.1,-9.0,-9.0,15.9
05083,16.5,16.0,-9.0,19.9,24.6,19.7,-9.0
05085,15.1,-9.0,19.7,14.8,17.2,18.1,-9.0
05087,8.3,-9.0,12.0,10.2,11.0,10.6,13.3
05089,-9.0,-9.0,-9.0,-9.0,-9.0,17.3,20.3
05091,7.9,7.2,-9.0,8.1,-9.0,9.4,-9.0
05093,-9.0,-9.0,17.8,-9.0,15.3,-9.0,-9.0
05095,-9.0,7.3,-9.0,-9.0,-9.0,9.4,-9.0
05097,10.8,11.7,13.3,15.1,-9.0,-9.0,-9.0
05099,7.3,-9.0,9.6,9.1,8.7,-9.0,11.5
05101,-9.0,15.2,17.2,-9.0,18.8,20.5,24.5
05103,-9.0,-9.0,12.2,-9.0,-9.0,-9.0,-9.0
05105,-9.0,-9.0,-9.0,15.2,12.9,-9.0,-9.0
05107,-9.0,7.3,9.3,-9.0,8.6,8.3,-9.0
05109,12.3,15.9,-9.0,16.1,18.4,-9.0,21.2
05111,16.0,18.1,20.0,-9.0,19.5,20.0,-9.0
