FIPS,2014 EPL_SNGPNT,2015 EPL_SNGPNT,2016 EPL_SNGPNT,2017 EPL_SNGPNT,2018 EPL_SNGPNT,2019 EPL_SNGPNT,2020 EPL_SNGPNT
02180,99.87,99.87,99.87,99.81,99.75,96.5,93.25
02185,99.75,99.28,98.82,98.79,98.76,98.24,97.71
02188,99.52,99.62,99.71,99.76,99.81,98.18,96.56
02195,21.33,43.24,65.14,60.56,55.97,36.68,17.38
02198,87.23,86.74,86.25,79.12,71.98,61.61,51.24
02220,56.57,59.95,63.32,66.52,69.72,46.28,22.85
02230,41.29,22.3,3.31,16.46,29.61,32.23,34.85
02240,28.27,43.58,58.9,37.32,15.73,23.11,30.49
02275,36.77,63.55,90.32,67.75,45.18,34.02,22.85
02282,97.2,97.38,97.55,92.54,87.52,45.74,3.95
02290,96.98,97.1,97.23,97.71,98.19,93.22,88.26
04001,91.31,91.48,91.66,88.57,85.48,87.46,89.43
04003,64.09,62.99,61.89,58.93,55.97,60.04,64.1
04005,81.15,73.66,66.16,52.04,37.92,43.53,49.14
04007,28.08,37.93,47.79,47.46,47.12,32.92,18.71
04009,86.44,81.73,77.01,80.42,83.83,78.88,73.93
04011,87.46,85.55,83.64,84.56,85.48,84.34,83.2
04012,11.84,12.11,12.38,21.81,31.23,49.92,68.62
04013,78.7,77.17,75.64,73.81,71.98,69.63,67.28
04015,29.13,34.12,39.1,40.18,41.26,40.16,39.05
04017,90.23,90.26,90.29,86.64,83.0,83.9,84.79
04019,63.83,65.92,68.0,68.86,69.72,67.54,65.37
04021,73.0,67.06,61.13,56.74,52.34,48.75,45.16
04023,92.52,93.08,93.63,94.16,94.68,83.72,72.76
04025,15.09,13.56,12.03,11.52,11.02,9.09,7.16
04027,89.21,83.81,78.41,79.59,80.77,83.54,86.31
05001,34.7,57.74,80.77,82.7,84.62,82.41,80.2
05003,80.67,59.4,38.14,45.24,52.34,40.3,28.26
05005,29.58,20.65,11.72,11.37,11.02,11.68,12.35
05007,37.79,41.23,44.67,43.98,43.3,55.29,67.28
05009,48.9,46.58,44.25,42.76,41.26,26.28,11.3
05011,80.83,84.83,88.83,86.33,83.83,77.72,71.61
05013,58.8,63.52,68.23,51.29,34.35,37.84,41.34
05015,23.85,22.58,21.3,14.32,7.35,6.41,5.47
05017,95.67,94.56,93.44,95.04,96.63,93.03,89.43
05019,79.4,81.76,84.11,83.97,83.83,83.52,83.2
05021,81.53,84.1,86.66,89.02,91.37,87.28,83.2
05023,29.96,31.58,33.21,29.93,26.65,29.58,32.5
05025,59.85,66.54,73.23,72.6,71.98,67.27,62.57
05027,90.13,89.89,89.65,86.74,83.83,78.88,73.93
05029,86.88,84.6,82.33,71.49,60.65,69.94,79.22
05031,92.07,93.24,94.4,94.68,94.97,93.68,92.39
05033,76.66,68.68,60.71,60.68,60.65,61.61,62.57
05035,99.46,99.22,98.98,98.38,97.77,97.68,97.58
05037,75.52,70.63,65.74,75.18,84.62,91.36,98.09
05039,19.9,32.4,44.89,61.97,79.05,57.82,36.6
05041,86.79,88.2,89.62,88.22,86.82,90.13,93.44
05043,68.86,61.22,53.58,53.85,54.12,43.31,32.5
05045,68.29,58.93,49.57,45.42,41.26,47.35,53.44
05047,42.09,28.86,15.63,12.92,10.22,17.49,24.76
05049,14.58,18.26,21.94,22.05,22.16,30.6,39.05
05051,63.26,65.38,67.49,71.09,74.69,70.98,67.28
05053,32.66,30.04,27.41,39.88,52.34,39.42,26.51
05055,53.96,45.64,37.31,52.82,68.32,74.26,80.2
05057,92.17,93.4,94.62,95.48,96.34,93.35,90.36
05059,69.34,65.49,61.64,60.51,59.38,57.36,55.35
05061,95.89,96.48,97.07,94.4,91.72,95.16,98.6
05063,69.91,68.8,67.69,70.43,73.16,59.16,45.16
05065,8.47,6.06,3.66,3.23,2.8,3.84,4.87
05067,68.48,67.94,67.4,60.76,54.12,69.14,84.15
05069,94.05,92.57,91.09,88.96,86.82,91.1,95.39
05071,47.95,34.18,20.41,41.37,62.34,62.45,62.57
05073,51.26,65.49,79.72,72.51,65.3,66.29,67.28
05075,20.6,27.78,34.96,37.29,39.61,45.42,51.24
05077,82.17,75.52,68.86,67.08,65.3,77.05,88.8
05079,98.31,91.86,85.42,63.34,41.26,24.21,7.16
05081,74.18,70.68,67.18,59.76,52.34,41.42,30.49
05083,70.81,68.61,66.41,74.7,83.0,67.12,51.24
05085,73.51,74.15,74.79,75.79,76.79,81.1,85.42
05087,22.92,19.0,15.09,16.6,18.12,25.31,32.5
05089,11.37,13.93,16.49,15.2,13.91,14.07,14.23
05091,84.91,86.54,88.16,91.1,94.05,96.14,98.22
05093,95.64,95.9,96.15,96.96,97.77,97.38,96.98
05095,66.7,73.56,80.42,86.8,93.19,88.2,83.2
05097,9.49,5.81,2.13,6.18,10.22,13.8,17.38
05099,32.79,18.98,5.16,48.44,91.72,87.46,83.2
05101,5.16,4.54,3.92,3.95,3.98,18.24,32.5
05103,84.4,85.99,87.58,88.66,89.75,90.61,91.47
05105,6.75,7.71,8.66,13.39,18.12,16.18,14.23
05107,99.36,99.0,98.63,98.33,98.03,98.52,99.01
05109,84.11,65.61,47.12,51.54,55.97,34.6,13.24
05111,77.94,82.62,87.3,89.51,91.72,85.47,79.22
05113,72.24,60.94,49.63,50.08,50.53,51.98,53.44
05115,48.93,50.26,51.58,61.78,71.98,76.09,80.2
05117,50.56,60.04,69.53,52.83,36.13,49.35,62.57
05119,80.52,81.46,82.39,86.29,90.19,90.83,91.47
05121,56.96,68.61,80.26,83.89,87.52,83.86,80.2
05123,94.94,87.08,79.21,85.99,92.77,95.86,98.95
05125,53.87,47.66,41.45,51.05,60.65,63.96,67.28
05127,63.87,68.77,73.67,49.52,25.37,41.32,57.26
05129,2.45,2.1,1.75,3.6,5.44,9.34,13.24
05131,75.1,71.34,67.59,72.19,76.79,75.36,73.93
05133,72.05,68.32,64.6,52.93,41.26,44.2,47.14
05135,21.43,25.63,29.83,41.08,52.34,53.84,55.35
05137,3.92,6.72,9.52,11.72,13.91,42.76,71.61
05139,86.5,86.63,86.76,84.88,83.0,86.68,90.36
05141,62.62,46.0,29.39,36.34,43.3,35.78,28.26
